鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新城鄉,土地,新興段121~150地號,540.47,住,,,1061115,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13000000,24053,,0.0,0,,RPPNMLSKKIMFFAU96CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街31~60號,3.17,商,,,1061028,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831115,33.44,1,1,1,有,有,1060000,31699,,0.0,0,,RPSOMLTKKIMFFAU47CA
花蓮市,房地(土地+建物),花蓮縣花蓮市達固湖灣大路91~120號,156.1,農,,,1061123,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040918,292.75,6,2,6,有,無,16500000,56362,,0.0,0,,RPVNMLTKKIMFFAU67CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國興二街121~150號,56.17,住,,,1061107,土地2建物2車位0,一層,六層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830708,249.13,6,3,3,有,有,7570000,30386,,0.0,0,,RPXNMLTKKIMFFAU87CA
花蓮市,房地(土地+建物),花蓮縣花蓮市中華路1~30號,160.0,商,,,1061113,土地1建物1車位0,一層，二層，三層，四層，騎樓，夾層，地下層,四層,店面(店鋪),住商用,鋼筋混凝土造,0661227,668.26,1,1,4,有,無,48000000,71828,,0.0,0,,RPQOMLTKKIMFFAU27CA
吉安鄉,土地,仁廉段391~420地號,3.0,住,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,144000,48000,,0.0,0,,RPOPMLTKKIMFFAU17CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉仁安村南海四街163巷1~30號,190.0,,特定農業區,甲種建築用地,1061115,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700226,128.3,3,2,3,有,無,7000000,54560,,0.0,0,,RPXNMLKLKIMFFAU07CA
吉安鄉,土地,仁和段181~210地號,198.35,農,,,1061204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,3025,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLKLKIMFFAU88CA
花蓮市,房地(土地+建物),花蓮縣吉安鄉莊敬路91~120號,96.0,住,,,1061121,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0840529,286.96,5,2,3,有,無,13500000,47045,,0.0,0,,RPQOMLKLKIMFFAU09CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國興五街151~180號,22.34,住,,,1061016,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820618,114.73,3,2,1,有,無,3540000,30855,一樓平面,0.0,0,,RPTOMLKLKIMFFAU76CA
花蓮市,房地(土地+建物),花蓮縣花蓮市民權九街1巷1~30號,83.29,住,,,1061108,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0950809,179.31,5,2,3,有,無,11700000,65250,,0.0,0,,RPSOMLPKKIMFFAU07CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉安路二段31~60號,95.0,商,,,1061016,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040722,277.22,4,2,6,有,無,15000000,54109,,0.0,0,,RPQPMLSKKIMFFAU27CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中山路一段211~240號,15.78,住,,,1061128,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850216,150.16,3,2,2,有,無,6350000,42288,,0.0,0,,RPQOMLMJJHNFFAU98CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉明義六街103巷1~30號,41.11,,鄉村區,乙種建築用地,1061129,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0670411,36.48,1,1,1,有,無,1400000,38377,,0.0,0,,RPPNMLSLKIMFFAU07CA
吉安鄉,土地,干城段181~210地號,3305.79,,一般農業區,農牧用地,1061123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12500000,3781,,0.0,0,,RPPNMLRLKIMFFAU96CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里七街55巷1~30號,114.25,住,,,1061103,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0930702,165.81,5,2,3,有,無,7600000,45836,,0.0,0,,RPWNMLSLKIMFFAU77CA
玉里鎮,土地,源城段421~450地號,1074.0,,特定農業區,農牧用地,1061204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1288000,1199,,0.0,0,,RPPNMLPKKIMFFCU86CA
花蓮市,房地(土地+建物),花蓮縣花蓮市球崙二路211~240號,11.53,住,,,1061110,土地1建物1車位0,二層，三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,65.25,2,1,1,有,有,2400000,36782,,0.0,0,,RPXOMLSJJHNFFAU67CA
玉里鎮,土地,酸柑段751~780地號,127.78,,一般農業區,農牧用地,1061026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,113724,890,,0.0,0,本筆為國有土地移轉,RPRNMLSKKIMFFCU37CA
光復鄉,土地,大安段1291~1320地號,691.0,住,,,1061016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9450000,13676,,0.0,0,,RPRNMLRLKIMFFBU27CA
富里鄉,土地,福岡段781~810地號,1793.98,,山坡地保育區,農牧用地,1061127,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5660000,3155,,0.0,0,,RPPNMLLLKIMFFCU56CA
玉里鎮,房地(土地+建物),花蓮縣玉里鎮城西六街1~30號,48.62,住,,,1061108,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831011,99.92,3,2,2,有,無,2450000,24520,,0.0,0,,RPSNMLOLJHNFFCU07CA
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉中興路31~60號,444.0,住,,,1061130,土地3建物2車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0850830,563.17,6,3,4,有,無,18000000,31962,,0.0,0,,RPWNMLQLJHNFFCU67CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉全民街91~120號,54.28,,鄉村區,乙種建築用地,1061026,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880414,140.13,3,1,2,有,無,4000000,28545,,0.0,0,,RPXNMLPKKIMFFAU67EA
豐濱鄉,土地,東興段361~390地號,279.16,,風景區,丙種建築用地,1061116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450338,1613,,0.0,0,親友、員工或其他特殊關係間之交易。未辦保存登記建物一併移轉,RPPNMLSKKIMFFBU17DA
花蓮市,房地(土地+建物),花蓮縣花蓮市海濱街1~30號,93.0,住,,,1061130,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0681226,197.26,0,0,0,無,無,6668100,33804,,0.0,0,,RPXOMLKLKIMFFAU27DA
光復鄉,土地,水廣段1411~1440地號,3464.06,,山坡地保育區,農牧用地,1061117,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2900000,837,,0.0,0,,RPPNMLQLKIMFFBU96CA
玉里鎮,土地,禹中段751~780地號,1134.34,,一般農業區,農牧用地,1061211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1900000,1675,,0.0,0,,RPPNMLTKKIMFFCU27CA
光復鄉,土地,溪州段1141~1170地號,4136.91,,特定農業區,農牧用地,1061207,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,435,,0.0,0,,RPRNMLKLKIMFFBU56CA
富里鄉,土地,東里段1111~1140地號,6374.38,,特定農業區,農牧用地,1060930,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5300000,831,,0.0,0,,RPQNMLSLKIMFFCU37CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯四路61~90號,17.4,商,,,1061109,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690630,74.49,3,2,1,有,無,3300000,44301,,0.0,0,,RPPOMLSJJHNFFAU86CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆二街121~150號,74.0,住,,,1061113,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0701230,89.8,4,2,3,有,無,7000000,77951,,0.0,0,,RPQNMLSLKIMFFAU17CA
新城鄉,土地,嘉新段481~510地號,45.0,農,,,1061206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1110000,24667,,0.0,0,含未保存建物,RPWOMLRLKIMFFAU77CA
