鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
大安區,建物,臺北市大安區永康街7巷1~30號,0.0,商,,,1061115,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970326,201.45999999999998,4,2,2,有,有,有,80000,397,,0.0,0,,RPUNMLLKKIMFFFA08CC
大安區,建物,臺北市大安區光復南路421~450號,0.0,商,,,1061122,土地0建物1車位0,四層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,80.14,2,2,2,有,有,有,25000,312,,0.0,0,,RPWNMLLKKIMFFFA28CC
大安區,建物,臺北市大安區和平東路三段121~150號,0.0,住,,,1061126,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770211,77.26,1,1,1,有,有,有,36000,466,,0.0,0,,RPXNMLLKKIMFFFA38CC
大安區,建物,臺北市大安區大安區大安路一段91~120號,0.0,住,,,1061122,土地0建物0車位0,一層,5,店面(店鋪),,鋼筋混凝土造,,99.18,0,0,0,無,無,無,100000,1008,,0.0,0,,RPROMLLKKIMFFFA87CC
大安區,建物,臺北市大安區和平東路三段308巷31~60號,0.0,住,,,1061120,土地0建物1車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,0730308,196.66,0,0,0,無,無,無,44500,226,,0.0,0,,RPSOMLLKKIMFFFA97CC
大安區,建物,臺北市大安區大安路一段101巷1~30號,0.0,住,,,1061103,土地0建物1車位0,一層,7,店面(店鋪),見使用執照,鋼筋混凝土造,,273.88,1,2,2,有,無,無,272890,996,,0.0,0,,RPVOMLLKKIMFFFA28CC
大安區,建物,臺北市大安區復興南路一段61~90號,0.0,商,,,1061108,土地0建物1車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,0760302,82.21,0,0,0,無,無,有,160000,1946,,0.0,0,,RPXOMLLKKIMFFFA48CC
大安區,建物,臺北市大安區安和路二段91~120號,0.0,其他,,,1061113,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770109,163.15,4,0,2,有,有,無,53200,326,,0.0,0,106年11月13日至106年12月4日為裝修期。,RPROMLMKKIMFFFA97CC
北投區,建物,臺北市北投區裕民六路121~150號,0.0,商,,,1061116,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040305,146.51,3,1,2,有,有,有,77000,526,,0.0,0,,RPQNMLMKKIMFFEA67CC
北投區,建物,臺北市北投區明德路38巷1~30號,0.0,住,,,1061115,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040203,190.01999999999998,3,1,2,有,有,有,67579,356,,0.0,0,,RPRNMLMKKIMFFEA77CC
