鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
頭份巿,房地(土地+建物),苗栗縣頭份鎮下興里2鄰新興街1~30號,214.8,,山坡地保育區,丙種建築用地,1060804,土地1建物1車位0,全,三層,透天厝,住商用,見其他登記事項,0960919,228.82,6,3,4,有,無,11000000,48073,,0.0,0,,RPSNMLTKKIMFFFK86CA
苗栗市,房地(土地+建物),苗栗縣苗栗市清華里7鄰源林街61~90號,29.13,住,,,1061122,土地1建物1車位0,一層，騎樓,十層,店面(店鋪),住商用,鋼筋混凝土造,0831130,165.44,2,1,1,有,無,4200000,25387,,0.0,0,,RPPNMLSJJHNFFBK58DA
苑裡鎮,土地,致民段661~690地號,8.21,,特定農業區,農牧用地,1061116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,94579,11520,,0.0,0,向政府機關承購之案件。,RPPNMLMKKIMFFCK28DA
竹南鎮,土地,新生段571~600地號,4.41,住,,,1061106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,132300,30000,,0.0,0,向政府機關承購之案件。,RPTNMLNKKIMFFDK88DA
南庄鄉,土地,北獅里興段北獅里興小段181~210地號,6396.0,,山坡地保育區,農牧用地,1061014,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,1407,,0.0,0,,RPQNMLMLKIMFFFK68CA
頭份巿,土地,水源段841~870地號,493.86,,山坡地保育區,丙種建築用地,1060921,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7860000,15915,,0.0,0,,RPSNMLPLKIMFFFK56CA
南庄鄉,土地,四灣段121~150地號,2781.0,,山坡地保育區,農牧用地,1061118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,1618,,0.0,0,有整地及種植樹木,RPPNMLKMKIMFFFK48CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份鎮田寮里18鄰蘆竹路380巷31~60號,79.61,住,,,1061020,土地2建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,0870304,144.97,4,2,2,有,無,5800000,40008,一樓平面,0.0,0,,RPQNMLOKKIMFFFK78CA
頭份巿,房地(土地+建物),苗栗縣頭份鎮東庄里8鄰八德一路51巷130弄61~90號,128.84,住,,,1060929,土地6建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1010112,180.85,4,2,3,有,無,10800000,59718,,0.0,0,,RPPNMLNKKIMFFFK58CA
頭份巿,房地(土地+建物),苗栗縣頭份鎮蟠桃里14鄰信三街12巷1~30號,14.1,住,,,1061118,土地2建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860129,102.66,3,2,2,有,有,3400000,33119,,0.0,0,,RPRNMLMKKIMFFFK68CA
銅鑼鄉,土地,西田洋段871~900地號,1082.37,,特定農業區,農牧用地,1061122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,924,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLNKKIMFFEK48CA
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉中正路241~270號,128.88,住,,,1061109,土地2建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土造,0710407,306.89,4,3,3,有,無,12090000,39395,,0.0,0,,RPQNMLPKKIMFFEK78CA
後龍鎮,土地,龍東段241~270地號,158.0,商,,,1061107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,6329,,0.0,0,,RPXNMLOKKIMFFDK66CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔里2鄰科專六路301~330號,31.11,住,,,1061107,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051012,118.64999999999999,2,2,2,有,無,6500000,56324,坡道平面,21.0,1000000,,RPXNMLKLKIMFFDK98CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔里2鄰科專六路271~300號,31.11,住,,,1061103,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051012,116.96,2,2,2,有,無,6500000,56329,坡道平面,19.32,1000000,,RPOOMLKLKIMFFDK18CA
