鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
屏東巿,房地(土地+建物),屏東縣屏東市信義路1~30號,84.0,住,,,1061120,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0770525,262.02,5,1,4,有,無,9000000,34349,,0.0,0,,RPTOMLTLKIMFFAT57CA
屏東巿,土地,大同段631~660地號,19.86,住,,,1061023,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,352800,17764,,0.0,0,,RPTOMLOJJHNFFAT76CA
屏東巿,土地,民生段391~420地號,43.0,住,,,1061120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,580000,13488,,0.0,0,含未保存建物,RPQOMLRLKIMFFAT07CA
屏東巿,房地(土地+建物),屏東縣屏東市清進巷151~180號,2080.0,,特定農業區,丁種建築用地,1061124,土地1建物1車位0,一層，二層，騎樓,二層,倉庫,,鋼筋混凝土加強磚造,,797.24,0,0,0,無,無,43414800,,,0.0,0,,RPXNMLSLKIMFFAT77CA
萬丹鄉,土地,崙頂段511~540地號,1372.0,,特定農業區,農牧用地,1061110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,2551,,0.0,0,,RPPPMLMJJHNFFAT88CA
潮州鎮,房地(土地+建物),屏東縣潮州鎮朝昇路22巷61~90號,118.0,住,,,1061130,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0940127,224.48,5,1,4,有,無,7700000,34301,,0.0,0,,RPWNMLNKKIMFFCT27CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉學人路241~270號,8.06,,鄉村區,乙種建築用地,1061204,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840710,28.259999999999998,1,0,1,有,有,430000,15216,,0.0,0,,RPRNMLOKKIMFFCT86CA
內埔鄉,土地,圳頭段31~60地號,59.63,,一般農業區,農牧用地,1061201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,1677,,0.0,0,,RPPNMLRLKIMFFCT07CA
萬巒鄉,房地(土地+建物),屏東縣萬巒鄉南進路31~60號,191.03,住,,,1061023,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1040903,227.88,4,3,4,有,無,7000000,30718,,0.0,0,,RPTNMLNJJHNFFCT76CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉學興路42巷61~90號,116.85,住,,,1061027,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1060810,192.77,5,2,5,有,無,11200000,58100,,0.0,0,,RPQNMLOJJHNFFCT56CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉勝利路361~390號,20.03,住,,,1061123,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0730412,26.3,3,2,2,有,無,250000,9506,,0.0,0,,RPWNMLMJJHNFFCT96CA
林邊鄉,房地(土地+建物),屏東縣林邊鄉和平路31~60號,101.75,住,,,1061128,土地1建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土造,0770212,156.57,4,2,3,有,無,1900000,12135,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLPKKIMFFDT96CA
車城鄉,土地,射埔段241~270地號,12.0,,鄉村區,乙種建築用地,1061124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28598,2383,,0.0,0,,RPVNMLMLKIMFFET37CA
車城鄉,土地,射埔段241~270地號,171.93,,鄉村區,乙種建築用地,1061124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,410863,2390,,0.0,0,,RPWNMLMLKIMFFET47CA
春日鄉,土地,力里段121~150地號,22330.0,,山坡地保育區,林業用地,1061102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,90000,4,,0.0,0,其他特殊關係間之交易。,RPQNMLNKKIMFFFT96CA
佳冬鄉,土地,石光段811~840地號,0.53,住,,,1061125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8300,0,,0.0,0,,RPQNMLMJJHNFFFT66CA
牡丹鄉,土地,四林段931~960地號,345.0,,山坡地保育區,丙種建築用地,1061201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,234600,680,,0.0,0,親友、員工或其他特殊關係間之交易。尚包含未辦保存建物一幢。,RPRNMLNKKIMFFET07DA
佳冬鄉,土地,塭仔段841~870地號,82.97,,鄉村區,乙種建築用地,1061117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,2411,,0.0,0,,RPPNMLPLKIMFFFT37EA
佳冬鄉,土地,塭仔段841~870地號,166.28,,鄉村區,乙種建築用地,1061107,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2860000,17200,,0.0,0,含未登記建物。,RPQNMLPLKIMFFFT47EA
林邊鄉,土地,鎮安段991~1020地號,1510.79,,一般農業區,農牧用地,1061121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,794,,0.0,0,,RPSNMLPKKIMFFDT27DA
里港鄉,土地,定國段241~270地號,345.74,,鄉村區,乙種建築用地,1061108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,940000,2719,,0.0,0,,RPTNMLTKKIMFFBT57DA
里港鄉,土地,定國段421~450地號,464.07,,鄉村區,乙種建築用地,1061201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,5387,,0.0,0,,RPPNMLPKKIMFFBT76DA
潮州鎮,土地,四春段931~960地號,1292.74,,一般農業區,農牧用地,1061122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1064000,823,,0.0,0,,RPQNMLPKKIMFFCT96DA
牡丹鄉,土地,牡丹段61~90地號,1430.0,,山坡地保育區,農牧用地,1061205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,260000,182,,0.0,0,,RPPNMLNJJHNFFET56CA
屏東巿,房地(土地+建物),屏東縣屏東市豐年街61~90號,20.82,住,,,1061102,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0810601,115.04,3,2,2,有,無,3200000,27816,,0.0,0,,RPRPMLOKKIMFFAT96DA
恆春鎮,房地(土地+建物),屏東縣恆春鎮?琱螂?961~990號,4.91,住,,,1061124,土地1建物1車位0,九層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841116,41.3,1,1,1,有,有,1130000,27361,,0.0,0,,RPVNMLLLKIMFFET27CA
恆春鎮,土地,恆南段61~90地號,234.66,住,,,1061110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9888888,42141,,0.0,0,向政府機關承購之案件。,RPUNMLMLKIMFFET27CA
恆春鎮,土地,德和段451~480地號,8856.76,,山坡地保育區,農牧用地,1061122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22500000,2540,,0.0,0,,RPSNMLLLKIMFFET96CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉學人路661~690號,164.27,住,,,1061201,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1051031,383.55,5,2,7,有,無,25000000,65181,,0.0,0,,RPRPMLKKJHNFFCT56CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉瀧觀巷151~180號,83.0,農,,,1050805,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830617,154.01,4,1,3,有,無,2500000,16233,,0.0,0,,RPVOMLMKJHNFFCT07CA
南州鄉,房地(土地+建物),屏東縣南州鄉人和路1巷1~30號,113.16,商,,,1061116,土地1建物1車位0,全,三層,透天厝,店舖、住宅,鋼筋混凝土造,0671004,242.91,4,2,3,有,無,3680000,15150,,0.0,0,,RPTNMLQLKIMFFDT47CA
恆春鎮,土地,水泉段181~210地號,4237.0,,國家公園區,,1060411,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36410000,8593,,0.0,0,,RPQNMLOKKIMFFET96CA
琉球鄉,土地,天台段1~30地號,11.9,農,,,1061128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42000,3529,,0.0,0,,RPRNMLKLKIMFFDT66CA
潮州鎮,房地(土地+建物),屏東縣潮州鎮榮田路2巷1~30號,80.23,住,,,1061127,土地2建物1車位0,全,三層,透天厝,住商用,加強磚造,0650910,177.6,4,1,2,有,無,3500000,19707,,0.0,0,,RPPNMLKMKIMFFCT09CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉竹北巷1~30號,397.0,,鄉村區,乙種建築用地,1061113,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1051124,268.67,4,1,4,有,無,13800000,51364,,0.0,0,,RPQNMLKMKIMFFCT56CA
萬巒鄉,土地,四溝水段271~300地號,888.0,,一般農業區,農牧用地,1061013,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,301920,340,,0.0,0,祭祀公業土地買賣,RPPNMLRJJHNFFCT76CA
