編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLMKJHNFFCN88CA,22,71.80,住家用,鋼筋混凝土造,84年8月11日,八層,六層
RPUNMLMKJHNFFCN88CA,22,27.42,見其他登記事項,鋼筋混凝土造,84年8月11日,八層,
RPRNMLTLKIMFFDN96CA,19,109.35,見其他登記事項,鋼筋混凝土造,87年3月12日,九層,一層
RPRNMLTLKIMFFDN96CA,19,81.02,見其他登記事項,鋼筋混凝土造,87年3月12日,九層,
RPWNMLLKJHNFFCN98CA,1,166.54,見其他登記事項,鋼筋混凝土造,105年6月14日,三層,一層 二層 三層 騎樓 見其他登記事項
RPOOMLMKJHNFFDN48CA,18,169.31,住家用,鋼筋混凝土造,88年12月29日,三層,一層 二層 三層
RPSNMLTJJHNFFAN09CA,37,111.75,住商用,鋼筋混凝土造,69年12月30日,二層,一層 二層 騎樓
RPRNMLMLKIMFFCN78CA,1,189.62,見其他登記事項,鋼筋混凝土造,106年2月21日,四層,一層 二層 三層 四層 騎樓
RPROMLMJJHNFFAN38CA,1,140.32,見其他登記事項,鋼筋混凝土造,105年9月26日,三層,一層 二層 三層 屋頂突出物
RPOPMLRLKIMFFAN98CA,39,123.51,住商用,鋼筋混凝土造,67年7月5日,三層,一層 二層 三層 騎樓
RPPOMLRLKIMFFAN98CA,38,27.96,住商用,鋼筋混凝土造,68年5月29日,三層,一層 二層 三層
RPROMLTJJHNFFAN09CA,47,37.60,住家用,加強磚造,59年12月23日,一層,一層
RPTNMLKKJHNFFAN38CA,21,110.30,住商用,鋼筋混凝土造,86年1月21日,八層,一層 二層 騎樓
RPTNMLKKJHNFFAN38CA,21,26.52,住家用,鋼筋混凝土造,86年1月1日,八層,
RPVNMLKKJHNFFAN58CA,2,160.89,住家用,鋼筋混凝土造,104年12月14日,四層,一層 二層 三層 四層
RPRNMLTJJHNFFEN76CA,,149.62,住家用,鋼筋混凝土造,106年6月15日,三層,一層 二層 三層 見其他登記事項
RPSNMLKLKIMFFBN58CA,1,202.42,住家用,鋼筋混凝土造,106年4月14日,四層,一層 二層 三層 四層
RPWNMLLLKIMFFAN98CA,21,96.48,住家用,鋼筋混凝土造,86年1月21日,八層,五層
