編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLLKKIMFFCQ86EA,35,69.53,住家用,鋼筋混凝土加強磚造,71年12月31日,二層,一層 二層
RPSNMLLLJIMFFBQ88CA,35,112.40,住家用,鋼筋混凝土加強磚造,71年6月15日,二層,一層 二層 騎樓
RPVNMLPJKIMFFDQ07CA,24,87.94,住家用,鋼筋混凝土造,82年7月20日,四層,一層 二層 三層 四層
RPQNMLPKKIMFFBQ09CA,11,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,三層
RPQNMLPKKIMFFBQ09CA,11,4.20,共有部份,鋼筋混凝土造,95年8月28日,,
RPQNMLPKKIMFFBQ09CA,11,5.78,共有部份,鋼筋混凝土造,95年8月28日,,
RPRNMLPKKIMFFBQ56CA,11,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,三層
RPRNMLPKKIMFFBQ56CA,11,5.78,共有部份,鋼筋混凝土造,95年8月28日,,
RPRNMLPKKIMFFBQ56CA,11,4.20,共有部份,鋼筋混凝土造,95年8月28日,,
RPTNMLRLJIMFFCQ07CA,24,149.60,見其他登記事項,見其他登記事項,82年7月15日,一層,一層
RPWNMLKLJIMFFCQ66CA,28,175.81,住商用,鋼筋混凝土造,79年4月6日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPUNMLOLJIMFFBQ76CA,47,57.93,住家用,磚造,59年7月10日,一層,一層
RPPNMLKLJIMFFBQ48CA,43,168.80,住家用,見其他登記事項,63年7月15日,二層,一層 二層 騎樓
RPQNMLRKJIMFFDQ86DA,28,479.40,見其他登記事項,鋼造,78年4月27日,一層,一層
RPQNMLRKJIMFFDQ86DA,24,356.68,工業用,鐵造,83年3月11日,一層,一層
RPQNMLRKJIMFFDQ86DA,24,429.60,住家用,鋼筋混凝土造,83年3月11日,三層,一層 二層 三層
RPQNMLRKJIMFFDQ86DA,24,255.06,見其他登記事項,見其他登記事項,83年3月11日,二層,一層 二層 地下層
RPPOMLRKJIMFFDQ76CA,12,16.15,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,五層
RPPOMLRKJIMFFDQ76CA,12,7.19,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,
RPXNMLKLJIMFFDQ86CA,18,233.20,見其他登記事項,鋼筋混凝土造,88年3月29日,四層,一層 二層 三層 四層 地下層
RPQNMLNJKIMFFBQ78CA,,221.81,住家用,鋼筋混凝土造,106年5月12日,四層,一層 二層 三層 四層
RPVNMLMLJIMFFCQ86DA,25,156.40,住商用,鋼筋混凝土造,81年6月30日,三層,一層 二層 三層 電梯樓梯間
RPUNMLKLJIMFFCQ66EA,23,150.53,住商用,鋼筋混凝土造,83年9月26日,三層,一層 二層 三層 電梯樓梯間
RPUNMLRKJIMFFDQ17CA,,180.23,住家用,鋼筋混凝土造,106年8月2日,四層,一層 二層 三層 四層
RPPNMLKKKIMFFDQ68CA,38,105.70,住家用,鋼筋混凝土加強磚造,69年1月18日,二層,一層 二層 騎樓
RPUNMLOLJIMFFDQ96CA,1,162.88,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPRNMLLLJIMFFBQ78CA,6,204.27,住家用,鋼筋混凝土造,101年3月7日,三層,一層 二層 三層
RPSOMLOLJIMFFDQ86CA,23,46.07,見其他登記事項,鋼筋混凝土造,83年8月19日,七層,四層
RPSOMLOLJIMFFDQ86CA,23,21.52,見其他登記事項,鋼筋混凝土造,83年8月19日,七層,
RPSOMLOLJIMFFDQ86CA,23,10.90,見其他登記事項,鋼筋混凝土造,83年8月19日,七層,
