編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLQKJIMFFCC87CA,28,9.41,共用部份,鋼筋混凝土造,79年1月5日,五層,
RPPPMLOLJIMFFBC67CA,23,51.06,住家用,鋼筋混凝土造,83年9月8日,七層,七層
RPPPMLOLJIMFFBC67CA,23,12.07,共用部份,鋼筋混凝土造,83年9月8日,七層,
RPPQMLMKKIMFFBC57CA,21,107.70,商業用,鋼筋混凝土造,85年9月9日,六層,一層
RPPQMLMKKIMFFBC57CA,21,22.29,共用部份,鋼筋混凝土造,85年9月9日,六層,
RPPOMLOKJIMFFBC47CA,37,75.75,住家用,鋼筋混凝土造,70年1月24日,五層,四層
RPVNMLNLJIMFFCC08CA,18,201.36,見其他登記事項,鋼筋混凝土造,88年7月3日,四層,一層 二層 三層 四層 地下層
RPVNMLNLJIMFFCC08CA,18,22.30,共用部份,鋼筋混凝土造,88年7月3日,五層,
RPVNMLNLJIMFFCC08CA,18,2.52,共用部份,鋼筋混凝土造,88年7月3日,五層,
RPVNMLNLJIMFFCC08CA,18,.07,住家用,鋼筋混凝土造,88年6月11日,一層,
RPVNMLNLJIMFFCC08CA,18,.00,共用部份,鋼筋混凝土造,88年6月11日,九層,
RPVNMLNLJIMFFCC08CA,18,.39,共用部份,鋼筋混凝土造,88年6月11日,五層,
RPVNMLNLJIMFFCC08CA,18,.01,共用部份,鋼筋混凝土造,88年6月11日,五層,
RPVNMLNLJIMFFCC08CA,18,.07,住家用,鋼筋混凝土造,88年6月11日,一層,
RPVNMLNLJIMFFCC08CA,18,.00,共用部份,鋼筋混凝土造,88年6月11日,九層,
RPVNMLNLJIMFFCC08CA,18,.39,共用部份,鋼筋混凝土造,88年6月11日,五層,
RPVNMLNLJIMFFCC08CA,18,.01,共用部份,鋼筋混凝土造,88年6月11日,五層,
RPSNMLQKJIMFFBC87CA,37,66.06,住家用,鋼筋混凝土造,69年7月3日,五層,三層
RPWOMLOKJIMFFBC18CA,31,82.45,住家用,鋼筋混凝土造,76年3月23日,五層,四層
RPWOMLOKJIMFFBC18CA,31,3.96,住家用,鋼筋混凝土造,76年3月23日,五層,
RPPNMLRKJIMFFBC67CA,19,24.46,住家用,鋼筋混凝土造,88年1月14日,十四層,十層
RPPNMLRKJIMFFBC67CA,19,5.34,共用部份,鋼筋混凝土造,88年1月14日,十四層,
RPPNMLRKJIMFFBC67CA,19,1.90,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLRKJIMFFBC67CA,19,.57,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLRKJIMFFBC67CA,19,.29,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPQOMLOKJIMFFBC57CA,24,101.54,住家用,鋼筋混凝土造,83年2月2日,七層,二層
RPQOMLOKJIMFFBC57CA,24,39.55,共用部份,鋼筋混凝土造,83年2月2日,七層,
RPSOMLOKJIMFFBC77CA,33,94.85,住家用,鋼筋混凝土造,73年8月13日,五層,五層
RPPNMLQKJIMFFBC57CA,38,82.36,住家用,鋼筋混凝土造,69年1月21日,五層,五層
RPRNMLMLJIMFFBC47CA,24,94.73,住家用,鋼筋混凝土造,82年11月8日,七層,六層
RPRNMLMLJIMFFBC47CA,24,3.66,共用部份,鋼筋混凝土造,82年11月8日,七層,
RPRNMLMLJIMFFBC47CA,24,8.61,共用部份,鋼筋混凝土造,82年11月8日,七層,
RPROMLOKJIMFFBC67CA,43,59.36,住商用,鋼筋混凝土加強磚造,64年1月9日,四層,二層
RPTOMLMLJIMFFBC77CA,43,23.01,住家用,鋼筋混凝土加強磚造,64年3月24日,四層,四層
RPTOMLMLJIMFFBC77CA,43,28.03,住家用,鋼筋混凝土加強磚造,64年3月24日,四層,四層
RPSNMLMLJIMFFBC57CA,20,87.49,住家用,鋼筋混凝土造,86年6月7日,六層,三層
RPSNMLMLJIMFFBC57CA,20,8.26,共用部份,鋼筋混凝土造,86年6月7日,六層,
RPSNMLMLJIMFFBC57CA,20,4.62,共用部份,鋼筋混凝土造,86年6月7日,六層,
RPSNMLMLJIMFFBC57CA,20,10.98,共用部份,鋼筋混凝土造,86年6月7日,六層,
RPRNMLRKJIMFFBC87CA,22,62.55,住家用,鋼筋混凝土造,84年8月19日,五層,二層
RPRNMLRKJIMFFBC87CA,22,3.97,共用部份,鋼筋混凝土造,84年8月19日,五層,
RPWNMLQKJIMFFBC28CA,54,128.10,住商用,加強磚造,53年2月1日,二層,一層 二層 騎樓
RPWNMLRLJIMFFBC48CA,21,10.90,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPWNMLRLJIMFFBC48CA,21,58.94,住家用,鋼筋混凝土造,85年11月29日,二十三層,十一層
RPWNMLRLJIMFFBC48CA,21,4.00,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPWNMLRLJIMFFBC48CA,21,41.78,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPWNMLRLJIMFFBC48CA,21,5.01,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPQNMLQKJIMFFBC67CA,38,70.61,住家用,鋼筋混凝土造,69年1月21日,五層,一層
RPPNMLRKJIMFFCC77CA,2,70.35,見其他登記事項,鋼筋混凝土造,105年1月24日,二十二層,十四層
RPPNMLRKJIMFFCC77CA,2,.68,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPNMLRKJIMFFCC77CA,2,28.74,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPPNMLRKJIMFFCC77CA,2,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,
RPPNMLRKJIMFFCC77CA,2,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPNMLRKJIMFFCC77CA,2,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPTOMLKLJIMFFCC67CA,1,64.50,見其他登記事項,鋼筋混凝土造,106年1月24日,十五層,七層
RPTOMLKLJIMFFCC67CA,1,12.40,見其他登記事項,鋼筋混凝土造,106年1月24日,十五層,
RPTOMLKLJIMFFCC67CA,1,16.37,見其他登記事項,鋼筋混凝土造,106年1月24日,十五層,
RPUNMLPKJIMFFCC08CA,35,85.99,住家用,鋼筋混凝土造,71年8月31日,四層,二層
RPSPMLMLJIMFFBC77CA,8,100.87,住家用,鋼筋混凝土造,98年6月25日,二十五層,五層
RPSPMLMLJIMFFBC77CA,8,19.86,共用部份,鋼筋混凝土造,98年6月25日,二十五層,
RPSPMLMLJIMFFBC77CA,8,21.47,共用部份,鋼筋混凝土造,98年6月25日,二十五層,
RPSPMLMLJIMFFBC77CA,8,.04,見其他登記事項,鋼筋混凝土造,98年6月25日,二十五層,
RPSPMLMLJIMFFBC77CA,8,9.53,共用部份,鋼筋混凝土造,98年6月25日,二十五層,
RPSPMLMLJIMFFBC77CA,8,5.44,共用部份,鋼筋混凝土造,98年6月25日,二十五層,
RPVOMLKLJIMFFCC87CA,1,54.70,見其他登記事項,鋼筋混凝土造,106年1月24日,十五層,十一層
RPVOMLKLJIMFFCC87CA,1,11.48,見其他登記事項,鋼筋混凝土造,106年1月24日,十五層,
