編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLLLJIMFFAN68CA,19,150.93,住家用,鋼筋混凝土造,87年10月6日,四層,一層 二層 三層 四層
RPUNMLKLJIMFFCN78CA,26,282.89,見其他登記事項,鋼造,80年11月23日,一層,一層
RPQOMLRLJIMFFAN98CA,50,116.95,住家用,加強磚造,57年2月2日,二層,一層 二層 騎樓
RPQOMLOLJIMFFBN78CA,37,98.00,住家用,加強磚造,69年5月1日,二層,一層 二層 騎樓
RPSNMLLKKIMFFCN68CA,36,82.40,住商用,鋼筋混凝土加強磚造,70年9月21日,二層,一層 二層 騎樓
RPPNMLLLJIMFFEN58CA,2,149.33,見其他登記事項,鋼筋混凝土造,104年8月14日,二層,一層 二層 騎樓 見其他登記事項
RPQNMLLLJIMFFEN68CA,2,148.73,見其他登記事項,鋼筋混凝土造,104年8月14日,二層,一層 二層 騎樓 見其他登記事項
RPPOMLNKKIMFFDN78CA,1,183.80,見其他登記事項,鋼筋混凝土造,106年3月1日,四層,一層 二層 三層 四層
RPUNMLKKKIMFFCN78CA,,161.17,見其他登記事項,鋼筋混凝土造,106年5月4日,三層,一層 二層 三層 屋頂突出物
RPPNMLKKKIMFFCN28CA,,201.51,見其他登記事項,鋼筋混凝土造,106年5月4日,三層,一層 二層 三層 屋頂突出物
RPWNMLNLJIMFFDN76CA,4,263.14,見其他登記事項,鋼筋混凝土造,102年8月26日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPVNMLQKJIMFFDN86CA,1,171.33,見其他登記事項,鋼筋混凝土造,105年5月17日,三層,一層 二層 三層 屋頂突出物
RPVNMLQKJIMFFDN86CA,1,1.53,見其他登記事項,鋼筋混凝土造,105年5月17日,二層,
RPRNMLSLJIMFFFN96CA,37,125.52,住家用,加強磚造,69年8月26日,二層,一層 二層 騎樓
RPXNMLQKJIMFFFN27CA,23,209.25,見其他登記事項,鋼筋混凝土造,83年12月10日,四層,一層 二層 三層 四層 地下層
RPSNMLNKKIMFFHN76CA,,170.21,見其他登記事項,鋼筋混凝土造,106年6月3日,三層,一層 二層 三層 屋頂突出物
RPWNMLPKJIMFFGN17CA,23,201.01,住商用,鋼筋混凝土造,83年11月1日,四層,一層 二層 三層 四層 騎樓
RPPNMLRKJIMFFFN66DA,32,96.73,住商用,加強磚造,74年9月4日,二層,一層 二層 騎樓
RPXNMLMKKIMFFHN17CA,1,164.71,見其他登記事項,鋼筋混凝土造,106年7月10日,三層,一層 二層 三層 屋頂突出物
RPWNMLMKKIMFFHN07CA,1,167.31,見其他登記事項,鋼筋混凝土造,106年7月10日,三層,一層 二層 三層 屋頂突出物
RPPNMLMKKIMFFHN98CA,1,164.71,見其他登記事項,鋼筋混凝土造,106年7月10日,三層,一層 二層 三層 屋頂突出物
RPQNMLMKKIMFFHN09CA,1,164.71,見其他登記事項,鋼筋混凝土造,106年7月10日,三層,一層 二層 三層 屋頂突出物
RPSNMLMKKIMFFHN66CA,1,164.71,見其他登記事項,鋼筋混凝土造,106年7月10日,三層,一層 二層 三層 屋頂突出物
RPUNMLQJKHNFFCN76DA,1,174.04,見其他登記事項,鋼筋混凝土加強磚造,106年2月16日,四層,一層 二層 三層 四層
RPQOMLRLJIMFFHN07CA,39,115.40,住家用,加強磚造,67年7月8日,二層,一層 二層 騎樓
RPWNMLQKJIMFFHN37CA,2,209.10,見其他登記事項,鋼筋混凝土造,104年9月10日,四層,一層 二層 三層 四層 騎樓
RPXNMLQKJIMFFHN47CA,2,203.40,見其他登記事項,鋼筋混凝土造,104年9月10日,四層,一層 二層 三層 四層 騎樓
SPXNMLQKJIMFFHN57CA,2,181.72,見其他登記事項,鋼筋混凝土造,104年9月10日,四層,一層 二層 三層 四層 騎樓
RPPOMLMKKIMFFHN09CA,1,164.71,見其他登記事項,鋼筋混凝土造,106年7月10日,三層,一層 二層 三層 屋頂突出物
RPQNMLKKKIMFFCN38CA,,165.46,見其他登記事項,鋼筋混凝土造,106年5月17日,四層,一層 二層 三層 四層
RPOOMLMKKIMFFHN98CA,1,164.71,見其他登記事項,鋼筋混凝土造,106年7月10日,三層,一層 二層 三層 屋頂突出物
RPTOMLOLJIMFFGN96CA,,199.71,住家用,鋼筋混凝土造,106年8月1日,三層,一層 二層 三層 屋頂突出物
RPTNMLLKKIMFFCN78CA,43,123.48,住商用,鋼筋混凝土加強磚造,63年6月18日,二層,一層 二層 騎樓
RPPNMLSJKIMFFEN56CA,24,175.23,住商用,鋼筋混凝土造,83年3月31日,三層,一層 二層 三層 騎樓
