編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLQKJIMFFAP09CA,5,158.19,住家用,鋼筋混凝土造,101年8月27日,三層,一層 二層 三層
RPVNMLQKJIMFFAP76CA,3,169.74,見其他登記事項,鋼筋混凝土造,104年1月12日,三層,一層 二層 三層 屋頂突出物
RPXNMLQKJIMFFAP96CA,8,137.60,農舍,見其他登記事項,98年8月7日,一層,一層
RPPOMLPKJIMFFCP98CA,,184.03,見其他登記事項,鋼筋混凝土造,106年9月2日,三層,一層 二層 三層 見其他登記事項
RPOOMLPKJIMFFCP88CA,,188.99,見其他登記事項,鋼筋混凝土造,106年9月2日,三層,一層 二層 三層 見其他登記事項
RPTNMLMKKIMFFAP88CA,23,88.50,住家用,鋼筋混凝土造,83年8月7日,七層,七層
RPTNMLMKKIMFFAP88CA,23,19.97,共同部份,鋼筋混凝土造,83年8月7日,,
RPTNMLMKKIMFFAP88CA,23,25.32,共同部份,鋼筋混凝土造,83年8月7日,七層,
RPTNMLMKKIMFFAP88CA,23,83.46,住家用,鋼筋混凝土造,83年8月7日,七層,七層
RPTNMLMKKIMFFAP88CA,23,19.97,共同部份,鋼筋混凝土造,83年8月7日,,
RPTNMLMKKIMFFAP88CA,23,25.83,共同部份,鋼筋混凝土造,83年8月7日,七層,
RPQOMLPKJIMFFCP09CA,,203.50,見其他登記事項,鋼筋混凝土造,106年9月2日,三層,一層 二層 三層 見其他登記事項
RPTOMLPKJIMFFCP76CA,,203.50,見其他登記事項,鋼筋混凝土造,106年9月2日,三層,一層 二層 三層 見其他登記事項
RPPNMLRKJIMFFAP88CA,43,108.13,住商用,加強磚造,63年9月4日,二層,一層 二層 騎樓
RPUNMLLJKIMFFCP98CA,1,195.99,見其他登記事項,鋼筋混凝土造,105年12月9日,三層,一層 二層 三層 見其他登記事項
RPTNMLSLJIMFFAP86CA,23,356.25,住家用,鋼筋混凝土造,84年3月8日,五層,一層 二層 三層 四層 五層 騎樓 電梯樓梯間
RPXNMLRLJIMFFAP17CA,25,129.73,住商用,鋼筋混凝土造,81年8月20日,二層,一層 二層 騎樓 電梯樓梯間
RPUOMLRLJIMFFAP96CA,25,156.86,住家用,鋼筋混凝土造,81年11月20日,三層,一層 二層 三層 電梯樓梯間
RPSNMLRKJIMFFAP56CA,,182.20,見其他登記事項,鋼筋混凝土造,106年5月12日,三層,一層 二層 三層 屋頂突出物 騎樓
RPUOMLPKJIMFFCP86CA,,203.50,見其他登記事項,鋼筋混凝土造,106年9月2日,三層,一層 二層 三層 見其他登記事項
RPVOMLPKJIMFFCP96CA,,203.50,見其他登記事項,鋼筋混凝土造,106年9月2日,三層,一層 二層 三層 見其他登記事項
RPPPMLPKJIMFFCP09CA,,202.62,見其他登記事項,鋼筋混凝土造,106年9月2日,三層,一層 二層 三層 見其他登記事項
RPTNMLKLJIMFFBP78CA,37,127.86,住家用,見其他登記事項,69年3月28日,二層,一層 二層
RPTNMLKLJIMFFAP68CA,25,195.16,住家用,鋼筋混凝土造,81年12月30日,三層,一層 二層 三層 電梯樓梯間
RPUNMLMLJIMFFDP66CA,22,70.64,住家用,鋼筋混凝土造,85年1月16日,四層,一層 二層 三層 四層
RPUNMLMLJIMFFDP66CA,22,70.64,住家用,鋼筋混凝土造,85年1月16日,四層,一層 二層 三層 四層
RPPNMLMLJIMFFBP58CA,24,79.81,住家用,鋼筋混凝土造,83年1月22日,九層,九層
RPPNMLMLJIMFFBP58CA,24,9.74,見其他登記事項,鋼筋混凝土造,83年1月22日,九層,
RPPNMLMLJIMFFBP58CA,24,.65,共有部份,鋼筋混凝土造,83年1月21日,,
RPPNMLMLJIMFFBP58CA,24,2.13,共有部份,鋼筋混凝土造,83年1月21日,,
RPPNMLMLJIMFFBP58CA,24,.75,共有部份,鋼筋混凝土造,83年1月21日,,
RPPNMLMLJIMFFBP58CA,24,.98,共有部份,鋼筋混凝土造,83年1月21日,,
RPPNMLMLJIMFFBP58CA,24,6.63,共有部份,鋼筋混凝土造,83年1月21日,,
RPOOMLNLJIMFFAP58CA,21,46.13,共同部份,鋼筋混凝土造,86年3月5日,七層,
RPOOMLNLJIMFFAP58CA,21,211.73,住家用,鋼筋混凝土造,86年3月5日,七層,五層
RPOOMLNLJIMFFAP58CA,21,26.87,共同部份,鋼筋混凝土造,86年3月5日,七層,
RPSNMLKLJIMFFAP58CA,36,141.57,住商用,加強磚造,70年8月31日,二層,一層 二層 騎樓 電梯樓梯間
RPPNMLLLJIMFFAP38CA,36,116.53,住家用,見其他登記事項,71年2月26日,二層,一層 二層 騎樓 電梯樓梯間
RPTNMLLJKIMFFCP88CA,1,196.71,見其他登記事項,鋼筋混凝土造,105年12月9日,三層,一層 二層 三層 見其他登記事項
RPSOMLQKJIMFFBP66CA,22,202.12,住家用,鋼筋混凝土造,85年1月18日,四層,一層 二層 三層 四層
RPWNMLOKKIMFFAP76CA,2,117.79,住家用,鋼筋混凝土造,104年8月24日,三層,一層 二層 三層
RPPOMLNLJIMFFBP88DA,18,229.44,住商用,鋼筋混凝土造,88年6月20日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPSOMLNLJIMFFEP86DA,22,127.31,住家用,鋼筋混凝土造,84年5月26日,十二層,十一層
RPSOMLNLJIMFFEP86DA,22,2.75,共有部份,鋼筋混凝土造,84年5月26日,,
RPSOMLNLJIMFFEP86DA,22,23.16,共有部份,鋼筋混凝土造,84年5月26日,十二層,
RPSOMLNLJIMFFEP86DA,22,4.65,共有部份,鋼筋混凝土造,84年5月26日,,
RPVNMLMLJIMFFDP76CA,1,110.56,見其他登記事項,鋼筋混凝土造,106年4月11日,七層,六層
RPVNMLMLJIMFFDP76CA,1,84.62,見其他登記事項,鋼筋混凝土造,106年4月11日,七層,
RPTNMLSLJIMFFDP17CA,,167.24,住家用,鋼筋混凝土造,106年6月22日,三層,一層 二層 三層
RPUNMLMLJIMFFAP09DA,37,116.26,住商用,加強磚造,69年5月10日,二層,一層 二層 騎樓 電梯樓梯間
RPVOMLNLJIMFFEP07CA,20,253.91,住家用,鋼筋混凝土造,86年10月19日,四層,一層 二層 三層 四層
RPPNMLMLJIMFFCP68CA,24,147.11,住商用,鋼筋混凝土造,82年8月18日,三層,一層 二層 三層 電梯樓梯間
RPVNMLMKKIMFFDP76CA,38,135.04,住商用,加強磚造,68年8月15日,二層,一層 二層 騎樓
RPUNMLSLJIMFFDP27CA,,167.24,住家用,鋼筋混凝土造,106年6月22日,三層,一層 二層 三層
RPROMLNLJIMFFCP09CA,,173.34,住家用,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層
RPRNMLLKKIMFFAP58CA,14,191.77,住家用,鋼筋混凝土造,92年7月21日,三層,一層 二層 三層 電梯樓梯間
RPSNMLNLJIMFFAP88CA,22,148.55,住家用,鋼筋混凝土造,84年9月1日,三層,
RPPNMLLLJIMFFBP48CA,22,110.40,住家用,鋼筋混凝土造,85年4月28日,三層,一層 二層 三層
RPQOMLLLJIMFFAP58CA,6,186.27,見其他登記事項,鋼筋混凝土造,100年7月19日,三層,一層 二層 三層
RPVNMLLLJIMFFAP98CA,2,170.73,住家用,鋼筋混凝土造,104年11月1日,三層,一層 二層 三層
RPSNMLMLJIMFFAP78CA,22,207.99,住家用,鋼筋混凝土造,84年3月3日,三層,一層 二層 三層
RPPNMLNLJIMFFAP58CA,45,82.11,住家用,鋼筋混凝土加強磚造,61年10月30日,三層,一層 二層 三層
RPSNMLOKKIMFFDP66CA,15,183.02,住家用,鋼筋混凝土造,91年5月17日,三層,一層 二層 三層 電梯樓梯間
RPPNMLLLJIMFFCP58CA,26,108.99,住家用,鋼筋混凝土造,80年9月11日,二層,一層 二層 電梯樓梯間
RPXNMLKLKIMFFAP56CA,37,121.34,住家用,加強磚造,70年4月30日,二層,一層 二層 騎樓
RPRNMLTLJIMFFDP07CA,1,151.45,住家用,鋼筋混凝土造,106年7月26日,三層,一層 二層 三層 見其他登記事項
RPOOMLSLJIMFFDP76CA,34,125.20,住家用,加強磚造,72年9月25日,二層,一層 二層
RPTNMLQLJIMFFAP66CA,23,182.68,住家用,鋼筋混凝土造,83年11月20日,三層,一層 二層 三層 屋頂突出物
RPROMLOKKIMFFAP09DA,23,63.19,住家用,鋼筋混凝土造,83年6月15日,九層,四層
RPROMLOKKIMFFAP09DA,23,7.52,共同部份,鋼筋混凝土造,83年6月15日,,
RPROMLOKKIMFFAP09DA,23,11.38,共同部份,鋼筋混凝土造,83年6月15日,十層,
RPPNMLQKKIMFFBP98CA,36,113.51,住商用,加強磚造,70年6月9日,二層,一層 二層 騎樓 電梯樓梯間
RPSNMLRJKIMFFDP86CA,20,155.40,住家用,鋼筋混凝土造,87年1月22日,三層,一層 二層 三層 電梯樓梯間
RPWNMLNLJIMFFEP07CA,40,70.22,住家用,加強磚造,66年7月24日,二層,一層 二層
RPQNMLSLJIMFFCP76CA,22,10.67,共有部份,鋼筋混凝土造,85年2月15日,十層,
RPQNMLSLJIMFFCP76CA,22,167.89,商業用,鋼筋混凝土造,85年2月15日,十層,八層
RPQNMLSLJIMFFCP76CA,22,4.77,共有部份,鋼筋混凝土造,85年2月15日,十層,
RPQNMLSLJIMFFCP76CA,22,206.56,商業用,鋼筋混凝土造,85年2月15日,十層,八層
RPQNMLSLJIMFFCP76CA,22,23.72,共有部份,鋼筋混凝土造,85年2月15日,十層,
RPQNMLSLJIMFFCP76CA,22,229.22,商業用,鋼筋混凝土造,85年2月15日,十層,八層
RPQNMLSLJIMFFCP76CA,22,25.99,共有部份,鋼筋混凝土造,85年2月15日,十層,
RPQNMLSLJIMFFCP76CA,22,5.75,共有部份,鋼筋混凝土造,85年2月15日,十層,
RPQNMLSLJIMFFCP76CA,22,12.87,共有部份,鋼筋混凝土造,85年2月15日,十層,
RPQNMLSLJIMFFCP76CA,22,28.60,共有部份,鋼筋混凝土造,85年2月15日,十層,
RPQNMLSLJIMFFCP76CA,22,31.34,共有部份,鋼筋混凝土造,85年2月15日,十層,
RPQNMLSLJIMFFCP76CA,22,6.55,共有部份,鋼筋混凝土造,85年2月15日,十層,
RPQNMLSLJIMFFCP76CA,22,14.67,共有部份,鋼筋混凝土造,85年2月15日,十層,
RPQNMLSLJIMFFCP76CA,22,32.60,共有部份,鋼筋混凝土造,85年2月15日,十層,
RPQNMLSLJIMFFCP76CA,22,35.72,共有部份,鋼筋混凝土造,85年2月15日,十層,
RPQNMLPJKIMFFCP09DA,,185.44,見其他登記事項,鋼筋混凝土造,106年9月14日,三層,一層 二層 三層 屋頂突出物
RPROMLRLJIMFFAP86EA,3,102.07,見其他登記事項,鋼筋混凝土造,103年6月11日,七層,二層
RPROMLRLJIMFFAP86EA,3,74.76,見其他登記事項,鋼筋混凝土造,103年6月11日,七層,
RPTNMLOJKIMFFEP76CA,22,92.48,住家用,鋼筋混凝土造,84年5月26日,十五層,十層
RPTNMLOJKIMFFEP76CA,22,2.07,共有部份,鋼筋混凝土造,84年5月26日,,
RPTNMLOJKIMFFEP76CA,22,18.69,共有部份,鋼筋混凝土造,84年5月26日,十五層,
RPTNMLOJKIMFFEP76CA,22,1.19,共有部份,鋼筋混凝土造,84年5月26日,,
RPPNMLLJKIMFFCP48CA,36,124.24,住商用,加強磚造,70年9月3日,二層,一層 二層 騎樓
RPSNMLPKKIMFFCP76DA,,130.34,見其他登記事項,鋼筋混凝土造,106年9月14日,二層,一層 二層 屋頂突出物
RPSNMLQLKIMFFDP96CA,11,69.18,見其他登記事項,鋼筋混凝土造,96年2月5日,十一層,七層
RPSNMLQLKIMFFDP96CA,11,27.00,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPRNMLNLJIMFFDP09CA,21,122.69,住家用,鋼筋混凝土造,85年9月20日,四層,二層
RPRNMLNLJIMFFDP09CA,21,9.18,見其他登記事項,鋼筋混凝土造,85年9月20日,四層,
RPSNMLTLJIMFFDP17CA,2,157.42,住家用,鋼筋混凝土造,106年7月26日,三層,一層 二層 三層 見其他登記事項
RPRNMLNKKIMFFDP09CA,27,275.11,住商用,鋼筋混凝土造,79年6月20日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPPPMLTLJIMFFAP76CA,8,9.79,見其他登記事項,鋼筋混凝土造,99年2月23日,七層,二層
RPPPMLTLJIMFFAP76CA,8,3.85,見其他登記事項,鋼筋混凝土造,99年2月23日,七層,
RPPPMLTLJIMFFAP76CA,8,4.84,見其他登記事項,鋼筋混凝土造,99年2月23日,七層,
RPWOMLRLJIMFFAP17CA,35,110.50,住家用,加強磚造,71年6月21日,二層,一層 二層 騎樓
RPUNMLOLJIMFFAP56CA,21,351.42,住家用,鋼筋混凝土造,86年2月2日,四層,一層 二層 三層 四層
RPRNMLQLJIMFFAP09CA,,292.41,見其他登記事項,鋼筋混凝土造,106年5月15日,四層,一層 二層 三層 四層 屋頂突出物
RPWNMLNLJIMFFAP66CA,1,71.73,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,三層
RPWNMLNLJIMFFAP66CA,1,33.80,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,
RPQOMLNLJIMFFAP78CA,22,142.73,住家用,鋼筋混凝土造,84年5月25日,二層,一層 二層 電梯樓梯間
RPPNMLOLJIMFFAP68CA,23,7.50,共同部份,鋼筋混凝土造,83年11月20日,十四層,
RPPNMLOLJIMFFAP68CA,23,93.90,住家用,鋼筋混凝土造,83年11月20日,十四層,七層
RPPNMLOLJIMFFAP68CA,23,27.78,共同部份,鋼筋混凝土造,83年11月20日,十四層,
RPPNMLQLJIMFFAP88CA,,290.41,見其他登記事項,鋼筋混凝土造,106年5月15日,四層,一層 二層 三層 四層 屋頂突出物
RPPNMLKKKIMFFAP28CA,4,415.89,見其他登記事項,鋼筋混凝土造,102年10月18日,五層,一層 二層 三層 四層 五層
RPPNMLKKKIMFFAP28CA,4,5.57,見其他登記事項,鋼筋混凝土造,102年10月18日,一層,
RPRNMLRLJIMFFAP56CA,35,238.69,住家用,加強磚造,72年1月15日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPSPMLTLJIMFFAP17DA,,218.87,見其他登記事項,鋼筋混凝土造,106年5月2日,三層,一層 二層 三層 屋頂突出物
RPQNMLQLJIMFFAP98CA,,291.24,見其他登記事項,鋼筋混凝土造,106年5月15日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLQLJIMFFAP56CA,,277.64,見其他登記事項,鋼筋混凝土造,106年5月15日,四層,一層 二層 三層 四層 屋頂突出物
RPWNMLPJKIMFFEP17CA,25,161.23,見其他登記事項,鋼筋混凝土造,81年12月5日,三層,一層 二層 三層 騎樓
RPUNMLKMJIMFFEP76DA,21,87.24,住家用,鋼筋混凝土造,86年1月3日,十層,八層
RPUNMLKMJIMFFEP76DA,21,19.55,見其他登記事項,鋼筋混凝土造,86年1月3日,十層,
RPUNMLKMJIMFFEP76DA,21,15.62,見其他登記事項,鋼筋混凝土造,86年1月3日,十層,
RPTNMLOLJIMFFDP86DA,11,65.78,見其他登記事項,鋼筋混凝土造,96年2月5日,十一層,六層
RPTNMLOLJIMFFDP86DA,11,25.67,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPRNMLPKKIMFFCP66DA,,130.34,見其他登記事項,鋼筋混凝土造,106年9月14日,二層,一層 二層 屋頂突出物
RPTOMLRLJIMFFAP07EA,42,122.27,住家用,加強磚造,64年5月15日,二層,一層 二層 騎樓 電梯樓梯間
RPXNMLSLJIMFFDP67DA,35,118.57,住家用,加強磚造,71年11月29日,二層,一層 二層
RPQNMLRLJIMFFEP86CA,3,215.09,見其他登記事項,鋼筋混凝土造,103年8月22日,三層,一層 二層 三層 騎樓 見其他登記事項
RPTNMLTLJIMFFDP27CA,2,152.02,住家用,鋼筋混凝土造,106年7月26日,三層,一層 二層 三層 見其他登記事項
RPWNMLOLJIMFFAP76CA,3,165.64,住商用,鋼筋混凝土造,103年10月17日,三層,一層 二層 三層
RPVNMLSLJIMFFAP07CA,4,337.31,見其他登記事項,鋼筋混凝土造,102年8月30日,四層,一層 二層 三層 四層
RPRNMLPKKIMFFFP86CA,20,187.45,住家用,鋼筋混凝土造,87年4月23日,三層,一層 二層 三層 電梯樓梯間
RPXOMLRLJIMFFAP27CA,23,91.74,住家用,鋼筋混凝土造,83年12月9日,九層,六層
RPXOMLRLJIMFFAP27CA,23,49.61,共同部份,鋼筋混凝土造,83年12月9日,九層,
RPRNMLRLJIMFFBP66CA,25,98.95,住家用,鋼筋混凝土造,81年9月30日,五層,五層
RPRNMLRLJIMFFBP66CA,25,4.40,共有部份,鋼筋混凝土造,81年9月30日,,
RPRNMLRLJIMFFBP66CA,25,12.29,共有部份,鋼筋混凝土造,81年9月30日,五層,
RPWNMLSLJIMFFAP17CA,18,177.00,住家用,鋼筋混凝土造,89年4月8日,三層,一層 二層 三層 電梯樓梯間
RPRNMLPLKIMFFAP09CA,5,84.10,見其他登記事項,鋼筋混凝土造,101年7月25日,六層,六層
RPRNMLPLKIMFFAP09CA,5,27.42,見其他登記事項,鋼筋混凝土造,101年7月25日,六層,
RPRNMLPLKIMFFAP09CA,5,9.49,見其他登記事項,鋼筋混凝土造,101年7月25日,六層,
RPRNMLPLKIMFFAP09CA,5,26.90,停車空間,鋼筋混凝土造,101年7月25日,六層,
RPVNMLKMJIMFFAP98CA,22,117.60,住家用,鋼筋混凝土造,84年11月21日,九層,七層
RPVNMLKMJIMFFAP98CA,22,23.55,共同部份,鋼筋混凝土造,84年11月21日,九層,
RPVNMLKMJIMFFAP98CA,22,12.38,共同部份,鋼筋混凝土造,84年11月21日,九層,
RPQNMLTLJIMFFAP66CA,24,88.44,住家用,鋼筋混凝土造,83年1月5日,十一層,六層
RPQNMLTLJIMFFAP66CA,24,10.38,共同部份,鋼筋混凝土造,83年1月5日,十一層,
RPQNMLTLJIMFFAP66CA,24,13.65,共同部份,鋼筋混凝土造,83年1月5日,十一層,
RPQNMLTLJIMFFAP66CA,24,8.86,停車空間,鋼筋混凝土造,83年1月5日,十一層,
RPRNMLPJKIMFFAP88CA,21,83.76,住家用,鋼筋混凝土造,86年3月21日,十三層,八層
RPRNMLPJKIMFFAP88CA,21,12.94,共同部份,鋼筋混凝土造,86年3月21日,十三層,
RPRNMLPJKIMFFAP88CA,21,12.85,共同部份,鋼筋混凝土造,86年3月21日,十三層,
RPXOMLTLJIMFFAP47CA,23,29.47,見其他登記事項,鋼筋混凝土造,84年5月13日,十三層,九層
RPXOMLTLJIMFFAP47CA,23,5.23,共同部份,鋼筋混凝土造,84年5月13日,十三層,
RPXOMLTLJIMFFAP47CA,23,4.84,共同部份,鋼筋混凝土造,84年5月13日,十三層,
RPPNMLMLKIMFFDP88CA,2,228.54,住家用,鋼筋混凝土造,105年3月30日,四層,一層 二層 三層 四層
RPPNMLKLKIMFFDP68CA,11,178.95,見其他登記事項,鋼筋混凝土造,96年3月14日,三層,一層 二層 三層 見其他登記事項
RPVNMLTLJIMFFAP17CA,1,225.40,見其他登記事項,鋼筋混凝土造,105年7月31日,四層,一層 二層 三層 四層 見其他登記事項
RPVNMLTLJIMFFAP17CA,1,.46,見其他登記事項,鋼筋混凝土造,105年7月31日,四層,
RPSNMLMKKIMFFDP09CA,25,201.02,住家用,鋼筋混凝土造,82年4月17日,三層,一層 二層 三層 電梯樓梯間
RPPNMLPJKIMFFCP88CA,17,205.83,住家用,鋼筋混凝土造,89年12月22日,四層,一層 二層 三層 四層
RPPNMLKMJIMFFDP68CA,24,177.76,住家用,鋼筋混凝土造,83年2月2日,四層,一層 二層 三層 四層
RPTOMLTLJIMFFAP17DA,36,100.18,住家用,加強磚造,70年12月18日,二層,一層 二層 電梯樓梯間
RPSNMLKMJIMFFAP78DA,37,114.04,住家用,加強磚造,69年9月30日,二層,一層 二層 電梯樓梯間
RPRNMLSLJIMFFCP96DA,23,140.96,住商用,鋼筋混凝土造,84年4月7日,三層,一層 二層 三層 電梯樓梯間
RPPNMLMKKIMFFDP88DA,2,194.96,見其他登記事項,鋼筋混凝土造,104年9月17日,三層,一層 二層 三層 見其他登記事項
RPQNMLQJKIMFFFP76CA,22,220.52,住家用,鋼筋混凝土造,84年7月19日,三層,一層 二層 三層 電梯樓梯間 地下層
RPQNMLKMJIMFFCP68CA,,192.30,見其他登記事項,鋼筋混凝土造,106年9月2日,三層,一層 二層 三層 見其他登記事項
RPSNMLRJKIMFFAP56CA,4,199.81,見其他登記事項,鋼筋混凝土造,102年8月12日,四層,一層 二層 三層 四層 見其他登記事項
RPUNMLTLJIMFFDP37CA,48,153.08,住商用,加強磚造,58年11月15日,二層,一層 二層 騎樓
RPTNMLKMJIMFFAP78CA,37,122.82,住家用,見其他登記事項,70年3月31日,二層,一層 二層
RPPNMLRJKIMFFBP98CA,24,198.20,住商用,鋼筋混凝土造,82年5月8日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPWNMLKMJIMFFAP09CA,24,199.18,見其他登記事項,鋼筋混凝土造,83年1月20日,四層,一層 二層 三層 四層 電梯樓梯間
