編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOOMLMJIIIFFFR48CA,18,63.36,住家用,鋼筋混凝土造,84年3月31日,十一層,六層
RPOOMLMJIIIFFFR48CA,18,14.26,住家用,鋼筋混凝土造,84年3月31日,十一層,
RPOOMLMJIIIFFFR48CA,18,8.99,共有部分,鋼筋混凝土造,84年3月31日,十一層,
RPOOMLMJIIIFFFR48CA,18,.21,見其他登記事項,鋼筋混凝土造,84年3月31日,十一層,地下二層
RPOOMLMJIIIFFFR48CA,18,6.18,住家用,鋼筋混凝土造,84年3月31日,十一層,
RPPOMLLKRHIFFFR76CA,6,8.04,見其他登記事項,鋼筋混凝土造,96年9月20日,四層,三層
RPUNMLPLRHIFFER57CA,6,44.25,見其他登記事項,鋼筋混凝土造,96年9月27日,一層,
RPUNMLPLRHIFFER57CA,6,15.66,見其他登記事項,鋼筋混凝土造,96年9月27日,十二層,
RPUNMLPLRHIFFER57CA,6,114.55,住家用,鋼筋混凝土造,96年9月27日,十二層,十一層
RPQNMLMKRHIFFER76CA,19,25.93,見其他登記事項,鋼筋混凝土造,83年8月6日,八層,
RPQNMLMKRHIFFER76CA,19,102.60,住家用,鋼筋混凝土造,83年8月6日,八層,八層
RPQNMLMKRHIFFER76CA,19,18.26,見其他登記事項,鋼筋混凝土造,83年8月6日,八層,
RPQNMLMKRHIFFER76CA,19,.30,見其他登記事項,鋼筋混凝土造,83年8月6日,八層,地下層
RPXNMLTJRHIFFER08CA,18,142.53,住家用,鋼筋混凝土造,84年10月17日,八層,一層 二層 三層
RPXNMLTJRHIFFER08CA,18,3.45,見其他登記事項,鋼筋混凝土造,84年10月17日,八層,
RPXNMLTJRHIFFER08CA,18,3.59,見其他登記事項,鋼筋混凝土造,84年10月17日,八層,
RPSNMLKKRHIFFCR56CA,,180.47,住家用,見其他登記事項,102年5月15日,四層,二層 三層 四層 見其他登記事項 一層
RPPNMLMKRHIFFDR56CA,37,80.58,住家用,加強磚造,66年1月28日,二層,一層 二層
RPPNMLQJIIIFFBD07CA,,74.52,見其他登記事項,鋼筋混凝土構造,102年1月25日,四層,一層 二層 三層 四層
