鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,6.03,商,,,1070101,土地1建物1車位0,四層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,58.97,1,1,1,有,有,有,20000,339,,0.0,0,,RPXNMLLKJHNFFCB08CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,5.55,商,,,1070101,土地1建物1車位0,二十二層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,61.72,1,1,1,有,有,有,20000,324,,0.0,0,,RPOOMLLKJHNFFCB27CC
西屯區,房地(土地+建物)+車位,臺中市西屯區環中路三段61~90號,10.08,商,,,1061214,土地1建物1車位1,六層,27,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1060524,156.91,3,2,2,有,有,有,33200,212,坡道平面,31.72,0,,RPXOMLLKJHNFFCB18CC
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩十四街301~330號,2.15,商,,,1061215,土地1建物1車位2,十八層,23,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040830,297.7,3,2,2,有,有,有,53000,178,坡道平面,42.74,0,,RPOPMLLKJHNFFCB37CC
西屯區,房地(土地+建物)+車位,臺中市西屯區環中路三段61~90號,18.72,商,,,1061215,土地1建物1車位1,七層,38,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1040702,259.48,4,2,2,有,有,有,50000,193,坡道平面,26.82,0,租金含管理費。,RPQPMLLKJHNFFCB57CC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段691~720號,11.87,商,,,1061215,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980914,157.04000000000002,2,2,2,有,有,有,30000,191,坡道平面,33.21,0,租金含管理費,RPSPMLLKJHNFFCB77CC
烏日區,房地(土地+建物)+車位,臺中市烏日區新興路350巷1~30號,21.09,商,,,1061213,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050722,125.21000000000001,2,2,1,有,有,有,16900,135,坡道平面,31.6,0,租金含管理費。,RPTNMLLKJHNFFIB28CC
太平區,建物,臺中市太平區太平路301~330號,0.0,住,,,1061031,土地0建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0941014,339.92,0,2,2,有,無,無,65000,191,,0.0,0,只租2F.3F,RPWOMLMKJHNFFJB88CC
南區,房地(土地+建物),臺中市南區學府路147巷1~30號,11.96,住,,,1070101,土地1建物1車位0,一層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860925,70.31,1,1,1,有,有,有,14000,199,,0.0,0,,RPROMLMKJHNFFAB47CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,5.96,商,,,1061220,土地1建物1車位0,十六層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850506,113.02000000000001,2,2,1,有,有,有,10000,88,,0.0,0,,RPPSMLMKJHNFFAB67CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,1.72,商,,,1061215,土地1建物1車位0,十層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,28.549999999999997,1,0,1,有,有,有,6200,217,,0.0,0,,RPQSMLMKJHNFFAB77CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,3.84,商,,,1070101,土地1建物1車位0,七層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,63.96,1,0,1,有,有,有,7500,117,,0.0,0,,RPSSMLMKJHNFFAB97CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,1.83,商,,,1061219,土地1建物1車位0,五層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,30.64,1,0,1,有,有,有,6300,206,,0.0,0,,RPTSMLMKJHNFFAB08CC
南屯區,房地(土地+建物),臺中市南屯區文心南三路721~750號,76.79,住,,,1070101,土地2建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0891109,289.79999999999995,0,0,0,無,有,有,28000,97,,0.0,0,只租賃2-5樓租金內含管理費2000元整,RPWNMLPKJHNFFCB38CC
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段1~30號,5.91,住,,,1061215,土地1建物1車位1,十八層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,61.81,1,1,1,有,有,有,15000,243,坡道平面,18.99,0,19800含車位 不含管理費,RPQPMLPKJHNFFCB97CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,5.27,住,,,1061216,土地1建物1車位0,九層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,58.49,1,1,1,有,有,有,15000,256,,0.0,0,15000含管理費,RPWPMLPKJHNFFCB58CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,5.87,住,,,1070101,土地1建物1車位0,十一層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,64.1,1,1,1,有,有,有,15000,234,,0.0,0,15000 不含管理費  無車位,RPOQMLPKJHNFFCB87CC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺中市西屯區皇城街31~60號,33.27,住,,,1070101,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960625,207.33,4,2,2,有,有,無,20000,96,坡道平面,0.0,0,,RPTRMLPKJHNFFCB48CC
西屯區,房地(土地+建物),臺中市西屯區逢甲路1~30號,103.0,住,,,1070101,土地1建物1車位0,二層,5,店面(店鋪),住商用,鋼筋混凝土造,0761006,191.89,1,1,1,有,無,無,230000,1199,,0.0,0,,RPVPMLPKJHNFFCB58DC
太平區,建物,臺中市太平區樹德路91~120號,0.0,商,,,1061225,土地0建物0車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0761205,57.02,0,0,0,無,無,無,17000,298,,0.0,0,,RPPNMLQKJHNFFJB48CC
太平區,建物,臺中市太平區樹德路91~120號,0.0,商,,,1061225,土地0建物0車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0761205,136.48,4,0,2,有,無,無,15000,110,,0.0,0,,RPRNMLQKJHNFFJB68CC
