鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
淡水區,房地(土地+建物),新北市淡水區民權路1~30號,8.51,工,,,1061216,土地1建物1車位0,八層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971223,83.44,1,2,1,有,有,有,22000,264,,0.0,0,租金含管理費。,RPWNMLPKJHNFFEF98CC
三芝區,房地(土地+建物)+車位,新北市三芝區海景一街1~30號,83.64,,山坡地保育區,丙種建築用地,1070113,土地2建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,0851007,190.05,3,2,3,有,有,有,12000,63,坡道平面,0.0,0,,RPPQMLPKJHNFFEF58CC
新莊區,房地(土地+建物),新北市新莊區新北大道二段211~240號,185.06,工,,,1070111,土地1建物1車位0,六層,15,廠辦,工業用,鋼筋混凝土造,0791126,552.87,0,0,0,無,無,無,90000,163,,0.0,0,,RPVOMLPKJHNFFBF68CC
新莊區,房地(土地+建物),新北市新莊區民全街1~30號,20.64,住,,,1070113,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841027,120.99000000000001,3,2,2,有,有,無,16000,132,,0.0,0,,RPORMLPKJHNFFBF28CC
三峽區,房地(土地+建物),新北市三峽區大學路91~120號,155.57,住,,,1061227,土地1建物2車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,0960212,845.2,0,0,0,無,有,無,400000,473,,0.0,0,承租一樓及二樓,兩戶打通合併承租,RPOOMLPKJHNFFIF68CC
汐止區,建物,新北市汐止區樟樹一路129巷1~30號,0.0,住,,,1070110,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760620,19.83,3,2,2,有,有,有,7038,355,,0.0,0,,RPRNMLPKJHNFFDF48DC
汐止區,建物,新北市汐止區樟樹一路129巷1~30號,0.0,住,,,1070110,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760620,16.53,3,2,2,有,有,有,7038,426,,0.0,0,,RPSNMLPKJHNFFDF58DC
汐止區,建物,新北市汐止區樟樹一路129巷1~30號,0.0,住,,,1070110,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760620,18.18,3,2,2,有,有,有,7038,387,,0.0,0,,RPTNMLPKJHNFFDF68DC
汐止區,建物,新北市汐止區樟樹一路271~300號,0.0,住,,,1070112,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880625,104.51,4,2,2,有,有,有,15719,150,,0.0,0,,RPUNMLPKJHNFFDF78DC
中和區,建物,新北市中和區中和路361~390號,0.0,其他,,,1070107,土地0建物1車位0,十二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951221,57.739999999999995,1,1,1,有,有,無,20000,346,,0.0,0,,RPVPMLPKJHNFFHF76CC
永和區,建物,新北市永和區自由街61~90號,0.0,商,,,1060809,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0850719,32.96,1,1,1,有,有,有,12500,379,,0.0,0,,RPWPMLPKJHNFFHF86CC
永和區,房地(土地+建物)+車位,新北市永和區仁愛路306巷18弄1~30號,28.09,住,,,1070109,土地1建物1車位1,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980117,226.19,3,2,3,有,有,無,45000,199,坡道平面,30.68,0,,RPXPMLPKJHNFFHF96CC
中和區,房地(土地+建物)+車位,新北市中和區圓通路299巷1~30號,15.41,住,,,1070110,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971007,90.5,2,1,1,有,有,無,22000,243,坡道機械,11.8,0,,RPPQMLPKJHNFFHF88CC
汐止區,建物,新北市汐止區龍安路28巷1~30號,0.0,商,,,1070112,土地0建物1車位0,十三層,26,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860703,36.79,1,0,1,有,有,有,10000,272,,0.0,0,,RPQNMLPKJHNFFDF28CC
土城區,房地(土地+建物),新北市土城區中央路一段301~330號,655.46,工,,,1060926,土地1建物8車位0,見其他登記事項,5,工廠,工業用,鋼筋混凝土造,,3477.3,0,0,0,無,無,無,600000,,,0.0,0,自112年1月1日起至116年12月31日止，每月租金新台幣61萬8千元整；上述租金均含稅、含第二代全民健康保險補充保險費。撤銷原申報書序號C1FA10610160031,RPOQMLPKJHNFFAF28EC
中和區,建物,新北市中和區和平街1~30號,0.0,其他,,,1061220,土地0建物1車位0,見其他登記事項,19,店面(店鋪),見其他登記事項,見其他登記事項,1000415,128.18,0,2,1,有,有,無,54490,425,,0.0,0,,RPQNMLQKJHNFFHF78CC
中和區,建物,新北市中和區中正路751~780號,0.0,住,,,1061227,土地0建物1車位0,四層,23,辦公商業大樓,商業用,鋼筋混凝土造,0850919,138.84,2,1,0,有,有,有,23000,166,,0.0,0,該門牌分租4室，承租其中一室(第3室),RPXNMLQKJHNFFHF86CC
中和區,建物,新北市中和區中山路三段37巷31~60號,0.0,工,,,1070107,土地0建物1車位0,六層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0970519,125.17,0,0,0,無,有,有,26000,208,,0.0,0,,RPVOMLQKJHNFFHF76CC
三重區,車位,新北市三重區重新路一段121~150號,0.0,其他,,,1061228,土地0建物0車位2,,,其他,,,,55.59,0,0,0,有,有,無,4300,,坡道機械,55.6,4300,,RPRNMLQKJHNFFGF78CC
三峽區,房地(土地+建物),新北市三峽區國光街1~30號,31.58,住,,,1070115,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790412,162.7,4,2,2,有,有,有,17000,104,,0.0,0,,RPTOMLQKJHNFFIF66CC
三峽區,房地(土地+建物)+車位,新北市三峽區大學路1~30號,32.88,住,,,1070115,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060106,163.76,3,2,2,有,有,有,20000,122,坡道平面,30.02,0,,RPUOMLQKJHNFFIF76CC
板橋區,房地(土地+建物)+車位,新北市板橋區雙十路一段1~30號,24.1,住,,,1070108,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980827,176.89,4,2,2,有,有,有,28308,160,坡道機械,19.38,0,1.本案租金含代扣繳租賃所得稅及二代健保補充保費。2.107年1月9日至107年1月14日止為免租裝潢期。,RPOPMLQKJHNFFAF18DC
林口區,建物,新北市林口區文化一路二段181~210號,0.0,住,,,1070101,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970609,155.49,4,2,2,有,有,無,26500,170,,0.0,0,,RPPNMLQKJHNFFBF08CC
新莊區,建物,新北市新莊區立信三街31~60號,0.0,住,,,1061226,土地0建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940331,129.95,3,2,1,有,有,有,25600,197,坡道平面,24.63,0,租金總價含每月管理費用,RPQPMLQKJHNFFBF38CC
五股區,房地(土地+建物),新北市五股區五工路91~120號,995.52,,工業區,丁種建築用地,1061229,土地1建物4車位0,見其他登記事項,7,工廠,見其他登記事項,見其他登記事項,0980622,4668.139999999999,0,0,0,無,無,無,924000,,,0.0,0,含稅金含增建或未登記建物。,RPVRMLQKJHNFFBF09CC
五股區,房地(土地+建物),新北市五股區五工六路1~30號,2590.03,,工業區,丁種建築用地,1061003,土地1建物1車位0,見其他登記事項,7,工廠,見其他登記事項,鋼筋混凝土造,0820907,11352.35,0,0,0,無,無,無,2000000,,,0.0,0,1.租金第6年-第10年為每月206萬元整。2.免收租金裝修期為8個月。3.C1FB10610300053,RPWVMLQKJHNFFBF96CC
淡水區,建物,新北市淡水區淡金路1~30號,0.0,商,,,1060928,土地0建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960827,78.01,1,2,1,有,無,有,24126,309,,0.0,0,本租約協議不含租賃稅10%及二代健保1.91%。,RPURMLQKJHNFFEF66CC
淡水區,房地(土地+建物),新北市淡水區民權路1~30號,5.67,工,,,1061218,土地1建物1車位0,十七層,24,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0971223,52.24,1,1,1,有,有,有,17000,325,,0.0,0,租金含管理費。,RPPSMLQKJHNFFEF88CC
淡水區,建物,新北市淡水區淡金路38巷31~60號,0.0,住,,,1061218,土地0建物1車位0,十七層,22,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980218,44.68,1,1,1,有,有,有,12500,280,,0.0,0,租金含管理費。,RPQSMLQKJHNFFEF98CC
淡水區,建物,新北市淡水區淡金路38巷31~60號,0.0,住,,,1061219,土地0建物1車位0,十九層,22,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980218,60.28,1,1,1,有,有,有,14000,232,,0.0,0,租金含管理費。,RPRSMLQKJHNFFEF09CC
板橋區,土地,篤行段271~300地號,17.6,住,,,1061227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,8000,455,,0.0,0,租賃標的為未辦保存登記建物二樓,RPWNMLQKJHNFFAF68CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,八層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,47.43,1,1,1,有,有,有,8156,172,,0.0,0,,RPVNMLQKJHNFFCF78CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,八層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,60.61,1,1,1,有,有,有,10599,175,,0.0,0,,RPWNMLQKJHNFFCF88CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,八層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,47.44,1,1,1,有,有,有,8156,172,,0.0,0,,RPOOMLQKJHNFFCF18CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,八層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,79.65,1,1,1,有,有,有,14100,177,,0.0,0,,RPPOMLQKJHNFFCF28CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,八層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,59.839999999999996,1,1,1,有,有,有,10200,170,,0.0,0,,RPROMLQKJHNFFCF48CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,八層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,59.769999999999996,1,1,1,有,有,有,10600,177,,0.0,0,,RPSOMLQKJHNFFCF58CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,八層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,60.61,1,1,1,有,有,有,10600,175,,0.0,0,,RPUOMLQKJHNFFCF78CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,八層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,79.65,1,1,1,有,有,有,14500,182,,0.0,0,,RPVOMLQKJHNFFCF88CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,八層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,32.89,1,1,1,有,有,有,5850,178,,0.0,0,,RPWOMLQKJHNFFCF98CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,八層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,32.89,1,1,1,有,有,有,6008,183,,0.0,0,,RPXOMLQKJHNFFCF09CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,九層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,79.65,1,1,1,有,有,有,14209,178,,0.0,0,,RPPPMLQKJHNFFCF38CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,九層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,60.61,1,1,1,有,有,有,10699,177,,0.0,0,,RPQPMLQKJHNFFCF48CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,九層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,47.44,1,1,1,有,有,有,8256,174,,0.0,0,,RPSPMLQKJHNFFCF68CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,九層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,79.65,1,1,1,有,有,有,14300,180,,0.0,0,,RPUPMLQKJHNFFCF88CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070110,土地0建物1車位0,九層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,59.839999999999996,1,1,1,有,有,有,11000,184,,0.0,0,,RPVPMLQKJHNFFCF98CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,九層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,59.769999999999996,1,1,1,有,有,有,10300,172,,0.0,0,,RPXPMLQKJHNFFCF56CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,九層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,47.44,1,1,1,有,有,有,8600,181,,0.0,0,,RPOQMLQKJHNFFCF38CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,九層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,60.61,1,1,1,有,有,有,10601,175,,0.0,0,,RPPQMLQKJHNFFCF48CC
