鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬華區,房地(土地+建物),臺北市萬華區環河南路二段250巷17弄1~30號,25.0,住,,,1061027,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661222,92.14,4,2,1,有,無,9400000,102019,,0.0,0,,RPRNMLMKKIMFFBA27CA
萬華區,房地(土地+建物),臺北市萬華區中華路二段1~30號,6.65,商,,,1061111,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690822,54.77,3,0,3,有,無,5800000,105897,,0.0,0,,RPSOMLMKKIMFFBA47CA
萬華區,房地(土地+建物),臺北市萬華區中華路二段1~30號,18.55,商,,,1061111,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690822,152.55,7,0,7,有,無,15700000,102917,,0.0,0,含增建或未登記建物。,SPSOMLMKKIMFFBA57CA
大同區,房地(土地+建物),臺北市大同區長安西路181~210號,3.52,商,,,1061122,土地1建物1車位0,五層,九層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0811202,30.6,1,1,1,有,有,5000000,163399,,0.0,0,,RPWOMLMKKIMFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,21.88,商,,,1061023,土地1建物1車位0,一層，騎樓,二十二層,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,1060418,292.36,0,0,0,無,有,106128000,363005,,0.0,0,,RPQOMLNJJHNFFBA17CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,8.67,商,,,1061023,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,115.36000000000001,3,2,2,有,有,20940000,181519,,0.0,0,,SPQOMLNJJHNFFBA27CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,5.12,商,,,1061023,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,68.24,2,2,1,有,有,12384000,181477,,0.0,0,,TPQOMLNJJHNFFBA37CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,6.48,商,,,1061023,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,86.97,2,2,1,有,有,15786000,181511,,0.0,0,,UPQOMLNJJHNFFBA47CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,5.12,商,,,1061023,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,68.25,2,2,1,有,有,12390000,181538,,0.0,0,,VPQOMLNJJHNFFBA57CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,8.77,商,,,1061023,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,117.04,3,2,2,有,有,21240000,181476,,0.0,0,,WPQOMLNJJHNFFBA67CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.72,商,,,1061023,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,62.69,1,1,1,有,有,11376000,181464,,0.0,0,,XPQOMLNJJHNFFBA77CA
