鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
龜山區,房地(土地+建物)+車位,桃園市龜山區長峰路91~120號,18.04,住,,,1061101,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011215,164.77,3,2,2,有,有,無,14500,88,坡道平面,35.83,0,,RPROMLOJKIMFFHH98CC
平鎮區,房地(土地+建物),桃園市平鎮區中豐路301巷1~30號,390.73,住,,,1061201,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0791012,464.21,0,0,0,無,無,有,36000,78,,0.0,0,,RPXOMLOJKIMFFGH96DC
八德區,房地(土地+建物),桃園市八德區介壽路二段493巷4弄31~60號,85.32,,鄉村區,乙種建築用地,1061101,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0680215,87.0,4,2,3,有,無,有,18000,207,,0.0,0,,RPXNMLPJKIMFFFH86DC
平鎮區,房地(土地+建物),桃園市平鎮區廣泰路241~270號,20.38,住,,,1061201,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060803,96.87,2,2,1,有,有,無,13000,134,,0.0,0,,RPWNMLPJKIMFFGH76CC
龍潭區,房地(土地+建物),桃園市龍潭區東龍路331~360號,147.93,其他,,,1061201,土地2建物1車位0,全,1,透天厝,住家用,鋼筋混凝土造,0780525,320.51,0,0,0,無,無,無,6000,19,,0.0,0,,RPVNMLPJKIMFFCH88CC
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區洛陽街121~150號,40.02,住,,,1061101,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940927,165.0,3,2,2,有,有,有,32000,194,坡道平面,0.0,0,,RPUNMLPJKIMFFEH98CC
中壢區,建物,桃園市中壢區日新路61~90號,0.0,住,,,1061101,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690829,21.59,3,3,3,有,有,有,3000,139,,0.0,0,,RPPNMLPJKIMFFBH18CC
中壢區,建物,桃園市中壢區福州二街361~390號,0.0,住,,,1061101,土地0建物0車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0780717,73.93,0,0,0,無,無,無,22000,298,,0.0,0,,RPQNMLPJKIMFFBH28CC
中壢區,建物,桃園市中壢區中山路31~60號,0.0,商,,,1061101,土地0建物1車位0,七層,10,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0830907,22.58,1,1,1,有,有,無,4500,199,,0.0,0,,RPRNMLPJKIMFFBH38CC
中壢區,建物,桃園市中壢區永福路1081~1110號,0.0,住,,,1061101,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920710,188.72,5,2,3,有,有,無,14000,74,,0.0,0,,RPTNMLPJKIMFFBH58CC
