鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
板橋區,建物,新北市板橋區文化路一段331~360號,0.0,住,,,1061218,土地0建物1車位0,三十四層,40,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,42.5,1,1,1,有,有,無,18000,424,,0.0,0,,RPXNMLLLKIMFFAF48CC
板橋區,建物,新北市板橋區南雅南路二段91~120號,0.0,住,,,1061217,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000602,143.42000000000002,3,2,2,有,有,無,36000,251,,0.0,0,,RPPOMLLLKIMFFAF77CC
汐止區,房地(土地+建物),新北市汐止區中興路181~210號,9.91,住,,,1061101,土地2建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0800628,81.9,0,0,0,無,無,無,50000,611,,0.0,0,,RPSNMLLLKIMFFDF28CC
汐止區,建物,新北市汐止區大同路二段241~270號,0.0,住,,,1061113,土地0建物1車位0,二十五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223,56.44,1,0,1,有,有,有,19000,337,,0.0,0,,RPROMLLLKIMFFDF28CC
汐止區,建物,新北市汐止區水源路二段181~210號,0.0,,鄉村區,乙種建築用地,1061119,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810919,84.29,4,3,2,有,無,有,16000,190,,0.0,0,,RPSOMLLLKIMFFDF38CC
汐止區,建物,新北市汐止區中興路151~180號,0.0,商,,,1061220,土地0建物1車位0,十二層,17,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0870403,51.54,1,1,1,有,有,無,13000,252,,0.0,0,含增建或未登記建物。,RPVOMLLLKIMFFDF68CC
淡水區,建物,新北市淡水區鄧公路29巷1~30號,0.0,,,,1061125,土地0建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860604,39.38,1,1,1,有,有,有,7400,188,,0.0,0,,RPUOMLLLKIMFFEF68CC
永和區,建物,新北市永和區中正路465巷1~30號,0.0,住,,,1061215,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,0991018,110.9,3,2,2,有,有,無,31012,280,,0.0,0,,RPQOMLLLKIMFFHF58CC
汐止區,房地(土地+建物)+車位,新北市汐止區明峰街121~150號,32.79,住,,,1061219,土地1建物1車位1,二十一層,22,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050725,227.93,4,2,2,有,有,無,40000,175,坡道平面,0.0,0,含 管理費.,RPTOMLLLKIMFFDF58DC
三重區,建物,新北市三重區中正北路193巷31~60號,0.0,工,,,1061101,土地0建物1車位0,三層,3,倉庫,見其他登記事項,鋼筋混凝土造,0741216,144.12,0,0,0,無,無,有,27245,,,0.0,0,,RPTNMLLLKIMFFGF88EC
新莊區,房地(土地+建物),新北市新莊區中港路331~360號,67.76,商,,,1061122,土地1建物1車位0,一層,,店面(店鋪),,,,853.44,0,0,0,無,有,無,380000,445,,0.0,0,,RPQOMLMLKIMFFBF28EC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1061206,土地0建物1車位0,八層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,45.99,1,1,1,有,有,有,8000,174,,0.0,0,,RPQNMLMLKIMFFCF08CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1061206,土地0建物1車位0,十六層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,60.61,1,1,1,有,有,有,11100,183,,0.0,0,,RPRNMLMLKIMFFCF18CC
樹林區,房地(土地+建物)+車位,新北市樹林區佳園路三段421~450號,17.81,住,,,1061221,土地1建物1車位2,一層,15,店面(店鋪),商業用,鋼筋混凝土造,0950425,149.59,1,1,1,有,有,無,28000,187,坡道機械,48.72,0,,RPUOMLMLKIMFFIF56CC
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段306巷9弄1~30號,20.16,住,,,1061221,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010806,114.69,2,2,1,有,無,有,15000,131,坡道平面,28.17,0,,RPPNMLMLKIMFFEF18CC
淡水區,房地(土地+建物),新北市淡水區新市一路三段91~120號,42.42,住,,,1061207,土地1建物1車位0,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,0971111,142.16,0,0,0,無,有,無,41500,292,,0.0,0,,RPXNMLMLKIMFFEF98CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路一段121~150號,24.91,住,,,1061124,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040515,160.64999999999998,3,2,2,有,無,有,15000,93,坡道平面,32.26,0,租金含管理費。,RPRQMLMLKIMFFEF68CC
淡水區,房地(土地+建物),新北市淡水區民權路1~30號,8.39,工,,,1061125,土地1建物1車位0,七層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971223,77.36,3,2,2,有,有,有,23000,297,,0.0,0,租金含管理費,RPXQMLMLKIMFFEF66CC
淡水區,房地(土地+建物),新北市淡水區民權路1~30號,7.15,工,,,1061126,土地1建物1車位0,七層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971223,66.99000000000001,2,2,2,有,有,有,18000,269,,0.0,0,租金含管理費。,RPPRMLMLKIMFFEF58CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段61~90號,17.45,工,,,1061220,土地3建物1車位2,六層,20,廠辦,工商用,鋼造,0830330,273.15,0,0,0,無,有,有,47500,174,坡道平面,0.0,0,,RPWOMLMLKIMFFDF88CC
汐止區,房地(土地+建物)+車位,新北市汐止區康寧街169巷1~30號,42.34,工,,,1061207,土地1建物1車位1,八層,13,廠辦,工業用,鋼筋混凝土造,0841211,291.46,0,0,0,無,有,有,50000,172,坡道平面,0.0,0,,RPXOMLMLKIMFFDF98CC
汐止區,房地(土地+建物),新北市汐止區大同路一段151~180號,11.71,工,,,1061221,土地2建物2車位0,三層,14,廠辦,工業用,鋼筋混凝土造,0830115,103.28,0,0,0,無,有,有,20000,194,,0.0,0,分租,RPOPMLMLKIMFFDF18CC
汐止區,房地(土地+建物),新北市汐止區大同路一段151~180號,18.12,工,,,1061205,土地1建物1車位0,三層,14,廠辦,工業用,鋼筋混凝土造,0830115,148.76,0,0,0,無,有,有,26000,175,,0.0,0,分租,RPPPMLMLKIMFFDF28CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段61~90號,126.48,工,,,1061129,土地18建物6車位14,四層,21,廠辦,工商用,鋼造,0830330,2018.23,0,0,0,無,有,有,320000,159,坡道平面,0.0,0,,RPQPMLMLKIMFFDF38CC
板橋區,房地(土地+建物),新北市板橋區新府路61~90號,4.97,其他,,,1061124,土地1建物1車位0,二十四層,24,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971119,48.59,1,1,1,有,有,有,20000,412,,0.0,0,,RPUOMLMLKIMFFAF38CC
板橋區,房地(土地+建物)+車位,新北市板橋區合宜路61~90號,25.54,住,,,1061127,土地1建物1車位1,四層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060531,178.94,3,2,2,有,有,無,23300,130,坡道平面,31.27,0,,RPUPMLMLKIMFFAF48CC
板橋區,房地(土地+建物)+車位,新北市板橋區合宜路91~120號,25.54,住,,,1061217,土地1建物1車位1,二十三層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060531,178.13,3,2,2,有,有,無,21800,122,坡道平面,31.27,0,,RPXPMLMLKIMFFAF78CC
板橋區,房地(土地+建物)+車位,新北市板橋區合宜路151~180號,24.48,住,,,1061211,土地1建物1車位1,十二層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060531,171.60000000000002,3,2,2,有,有,無,23000,134,坡道平面,31.27,0,租金內含管理費,RPOQMLMLKIMFFAF97CC
板橋區,房地(土地+建物)+車位,新北市板橋區合宜路151~180號,19.74,住,,,1061219,土地1建物1車位1,一層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060531,141.75,0,0,0,無,有,無,55700,393,坡道平面,31.27,0,,RPSQMLMLKIMFFAF38CC
板橋區,房地(土地+建物)+車位,新北市板橋區合宜路151~180號,19.74,住,,,1061219,土地1建物1車位1,一層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060531,141.65,0,0,0,無,有,無,55700,393,坡道平面,31.27,0,,RPTQMLMLKIMFFAF48CC
板橋區,房地(土地+建物),新北市板橋區板橋區文化路一段121~150號,22.0,住,,,1061201,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,61.0,3,1,1,有,無,無,19000,311,,0.0,0,,RPSRMLMLKIMFFAF48CC
板橋區,建物,新北市板橋區漢生東路211~240號,0.0,其他,,,1061207,土地0建物1車位0,十層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980724,77.46000000000001,2,2,2,有,有,有,35000,452,,0.0,0,,RPXRMLMLKIMFFAF98CC
淡水區,房地(土地+建物),新北市淡水區八勢一街63巷31~60號,21.99,住,,,1061222,土地2建物2車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980219,119.03,3,2,2,有,有,有,18000,151,,0.0,0,,RPPNMLNLKIMFFEF28CC
中和區,建物,新北市中和區中正路841~870號,0.0,,,,1061123,土地0建物1車位0,十一層,17,廠辦,見其他登記事項,見其他登記事項,0890930,217.39,0,0,0,無,有,無,46032,212,,0.0,0,,RPPNMLNLKIMFFHF58CC
中和區,房地(土地+建物)+車位,新北市中和區板南路661~690號,0.0,工,,,1061123,土地1建物1車位1,六層,18,辦公商業大樓,見其他登記事項,見其他登記事項,0981015,300.14,0,0,0,無,有,無,70108,234,坡道平面,29.04,0,,RPVNMLNLKIMFFHF56CC
樹林區,房地(土地+建物),新北市樹林區中華路271~300號,9.08,住,,,1061216,土地1建物1車位0,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860203,64.35,3,2,2,有,有,無,16000,249,,0.0,0,有夾層,RPPPMLPLKIMFFIF09CC
淡水區,房地(土地+建物),新北市淡水區新興街1~30號,42.36,住,,,1061214,土地1建物2車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,0860204,219.89,0,0,0,無,有,無,55000,250,,0.0,0,作教室使用,RPOPMLPLKIMFFEF78EC
林口區,房地(土地+建物)+車位,新北市林口區福林路31~60號,77.41,住,,,1061201,土地1建物1車位1,一層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1000127,227.55,1,1,1,有,無,無,40000,176,坡道平面,25.7,0,,RPQPMLPLKIMFFBF58DC
新莊區,房地(土地+建物),新北市新莊區萬安街1~30號,16.08,住,,,1061205,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970418,118.41,0,0,0,無,無,有,30000,253,,0.0,0,,RPSPMLPLKIMFFBF78DC
