鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
西屯區,房地(土地+建物)+車位,臺中市西屯區至善路38巷31~60號,13.7,商,,,1061027,土地3建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980121,112.77,1,1,1,有,有,有,20000,177,坡道平面,26.94,0,,RPPPMLLLJIMFFCB57CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,5.87,商,,,1061103,土地1建物1車位0,二十一層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,61.55,0,0,0,無,有,有,18500,301,,0.0,0,,RPQPMLLLJIMFFCB67CC
西屯區,車位,臺中市西屯區西屯路二段241~270號,0.0,,,,1061103,土地0建物0車位1,,,其他,,,,14.6,0,0,0,有,有,無,2000,,坡道機械,14.6,2000,,RPRPMLLLJIMFFCB77CC
大里區,房地(土地+建物),臺中市大里區環中東路六段236巷1~30號,57.46,住,,,1061027,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1030328,201.51,4,2,4,有,有,有,31000,154,,0.0,0,,RPXNMLLLJIMFFIB78CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段961~990號,376.0,住,,,1061120,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0740422,1481.38,0,0,0,無,無,無,220000,149,,0.0,0,107年至110年租金為每月22萬元，110年至113年租金為每月23萬元。113年至117年租金為每月24萬元,RPVNMLLLJIMFFBB97DC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段361~390號,19.58,住,,,1060925,土地1建物1車位1,二十五層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000121,214.71,4,2,3,有,有,有,55000,256,坡道平面,16.69,0,租金55000含家具,10%租賃所得稅,1.91%補充健保費及車位一位,RPRQMLMLJIMFFCB97CC
北屯區,房地(土地+建物),臺中市北屯區遼寧路一段121~150號,6.25,住,,,1061118,土地1建物1車位0,四層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821028,34.23,1,1,1,有,有,有,6800,199,,0.0,0,,RPUNMLMLJIMFFBB87CC
北屯區,房地(土地+建物),臺中市北屯區遼寧路一段31~60號,21.27,住,,,1061031,土地1建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830330,123.19,4,2,2,有,有,有,16300,132,,0.0,0,,RPWNMLMLJIMFFBB08CC
西區,房地(土地+建物)+車位,臺中市西區精誠路61~90號,27.0,住,,,1061122,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830926,279.49,3,2,2,有,有,有,22000,79,坡道平面,0.0,0,,RPSNMLNLJIMFFAB67CC
西區,房地(土地+建物)+車位,臺中市西區華美街331~360號,80.0,其他,,,1061031,土地1建物1車位1,全,4,透天厝,住商用,鋼筋混凝土造,0690523,226.24,0,0,0,無,無,無,41000,181,其他,0.0,0,,RPVNMLNLJIMFFAB97CC
