鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
苓雅區,房地(土地+建物),高雄市苓雅區中正一路211~240號,13.1,商,,,1061106,土地1建物1車位0,十七層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010705,251.12,4,2,2,有,有,有,50000,199,,0.0,0,,RPUOMLMLJIMFFBE28CC
鼓山區,建物,高雄市鼓山區馬卡道路331~360號,8.0,商,,,1061122,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040731,88.23,2,2,1,有,無,有,22000,249,,0.0,0,,RPSNMLNLJIMFFAE97CC
鼓山區,建物,高雄市鼓山區美術館路181~210號,0.0,住,,,1061105,土地0建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921128,161.55,3,2,2,有,有,有,28000,173,坡道平面,0.0,0,,RPOOMLNLJIMFFAE67CC
前鎮區,建物,高雄市前鎮區光華三路241~270號,0.0,商,,,1061114,土地0建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950302,198.49,3,2,2,有,有,有,23500,118,坡道平面,28.44,0,,RPOPMLNLJIMFFCE97CC
前鎮區,房地(土地+建物),高雄市前鎮區一心一路31~60號,186.0,商,,,1061122,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0870327,175.36,0,0,0,無,無,有,45000,257,,0.0,0,租1層與二樓半部,RPPPMLNLJIMFFCE08CC
鳳山區,房地(土地+建物),高雄市鳳山區過勇路151~180號,19.91,商,,,1061120,土地1建物1車位0,見其他登記事項,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1020620,189.32,0,1,2,有,有,無,32000,169,,0.0,0,,RPWNMLNLJIMFFGE98CC
左營區,房地(土地+建物),高雄市左營區介壽路211~240號,14.85,住,,,1061121,土地1建物1車位0,一層,15,店面(店鋪),住商用,鋼筋混凝土造,0951103,134.84,0,2,2,有,有,無,30000,222,,0.0,0,,RPSNMLNLJIMFFEE38CC
左營區,土地,新庄段十二小段1051~1080地號,816.0,住,,,1061122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,110000,135,,0.0,0,,RPOPMLNLJIMFFEE18CC
左營區,房地(土地+建物)+車位,高雄市左營區華夏路1081~1110號,10.3,住,,,1061123,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871021,115.12,3,2,2,有,無,無,7000,61,坡道機械,0.0,0,,RPVPMLNLJIMFFEE88CC
左營區,房地(土地+建物)+車位,高雄市左營區博愛二路91~120號,15.87,住,,,1061116,土地1建物1車位1,七層,28,住宅大樓(11層含以上有電梯),住家用,見使用執照,0881227,204.72,4,2,2,有,有,無,29000,142,坡道平面,19.17,0,,RPRNMLOLJIMFFEE38CC
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德民路820巷1~30號,9.74,住,,,1061122,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000526,84.69,2,2,1,有,有,有,13500,159,坡道機械,8.75,0,,RPROMLOLJIMFFEE48CC
左營區,房地(土地+建物),高雄市左營區富民路361~390號,25.38,商,,,1061123,土地1建物2車位0,見其它登記事項,14,店面(店鋪),商業用,見使用執照,0920811,229.22,0,0,0,無,無,無,100000,436,,0.0,0,,RPSOMLOLJIMFFEE58CC
左營區,房地(土地+建物),高雄市左營區左營大路331~360號,71.0,商,,,1061027,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0520101,116.36,0,0,0,無,無,無,16000,138,,0.0,0,,RPTOMLOLJIMFFEE68CC
三民區,房地(土地+建物),高雄市三民區大裕路181~210號,78.0,住,,,1061110,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0940907,43.66,0,0,0,無,無,有,15000,344,,0.0,0,,RPRNMLOLJIMFFDE28CC
三民區,建物,高雄市三民區鼎山街241~270號,0.0,住,,,1061120,土地0建物1車位0,全,2,透天厝,見其它登記事項,鋼筋混凝土造,0960126,204.78,0,0,0,無,無,無,45000,220,,0.0,0,,RPWNMLOLJIMFFDE78CC
仁武區,房地(土地+建物),高雄市仁武區仁光路31~60號,161.0,住,,,1061102,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0680630,100.82,0,0,0,無,無,有,22000,218,,0.0,0,,RPVNMLOLJIMFFIE56CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街91~120號,20.2,住,,,1061123,土地1建物1車位1,三層,21,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030508,143.0,3,2,2,有,有,有,33130,232,坡道平面,26.5,0,,RPXNMLOLJIMFFAE58CC
新興區,房地(土地+建物),高雄市新興區林森一路1~30號,85.92,商,,,1061026,土地1建物1車位0,全,4,透天厝,,加強磚造,0580206,309.45,0,3,1,有,無,無,90000,291,,0.0,0,106年10月27日至106年12月10日止為免租裝潢期,RPSOMLOLJIMFFBE28CC
新興區,房地(土地+建物),高雄市新興區復興一路61~90號,5.97,商,,,1061117,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041023,71.78999999999999,2,2,1,有,有,有,22000,306,,0.0,0,,RPPNMLPLJIMFFBE97CC
前鎮區,房地(土地+建物),高雄市前鎮區復興四路1~30號,22133.0,其他,,,1061106,土地1建物1車位0,二層,12,辦公商業大樓,見其它登記事項,鋼筋混凝土造,0970201,134.66,0,1,0,有,有,有,28000,208,,0.0,0,,RPRNMLPLJIMFFCE28CC
前鎮區,房地(土地+建物),高雄市前鎮區中山二路91~120號,6.11,商,,,1061107,土地1建物1車位0,三層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981224,90.71,2,2,2,有,有,有,22000,243,,0.0,0,,RPSNMLPLJIMFFCE38CC
三民區,房地(土地+建物),高雄市三民區民族巷1~30號,11.91,商,,,1061109,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960604,158.59,3,2,2,有,有,有,20000,126,,0.0,0,,RPPNMLPLJIMFFDE18CC
三民區,房地(土地+建物),高雄市三民區大裕路181~210號,78.0,住,,,1061122,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0940907,79.79,0,0,0,無,無,有,23000,288,,0.0,0,,RPTNMLRLJIMFFDE78CC
三民區,建物,高雄市三民區嫩江街151~180號,0.0,商,,,1061113,土地0建物1車位0,一層,9,店面(店鋪),,鋼筋混凝土造,0780510,198.25,0,0,0,無,無,無,26000,131,,0.0,0,,RPWNMLRLJIMFFDE09CC
前金區,房地(土地+建物),高雄市前金區成功一路241~270號,0.0,商,,,1061122,土地2建物1車位0,全,2,透天厝,,見使用執照,0380816,149.13,0,0,0,無,無,無,35000,235,,0.0,0,透天僅租二樓;第一個月不收租金,RPQNMLRLJIMFFAE18CC
前金區,房地(土地+建物),高雄市前金區成功一路241~270號,0.0,商,,,1061127,土地2建物1車位0,全,4,透天厝,,見使用執照,0380816,149.13,0,0,0,無,無,無,16000,107,,0.0,0,權狀登記為透天二樓,增建至四樓,僅出租四樓;第一個月不收租金,RPXNMLRLJIMFFAE88CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1061125,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1700,,坡道平面,12.66,1700,,RPUNMLRLJIMFFBE68CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1061125,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1700,,坡道平面,12.66,1700,,RPVNMLRLJIMFFBE78CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1061123,土地0建物1車位0,二十層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,12.67,3,2,2,有,有,有,15161,1197,,0.0,0,,RPWNMLRLJIMFFBE88CC
苓雅區,建物,高雄市苓雅區自強三路1~30號,0.0,商,,,1061108,土地0建物1車位0,三十五層,85,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0880401,175.53,0,0,0,無,無,無,28000,160,,0.0,0,,RPROMLRLJIMFFBE48CC
鼓山區,車位,高雄市鼓山區立文路61~90號,0.0,商,,,1061121,土地0建物0車位1,,,其他,,,,13.22,0,0,0,有,有,無,3200,,坡道平面,0.0,0,租金含車位清潔費.只租車位,RPUNMLSLJIMFFAE68CC
三民區,房地(土地+建物),高雄市三民區九如二路271~300號,72.0,商,,,1061124,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0520725,132.0,5,2,4,有,無,無,30000,227,,0.0,0,,RPTOMLSLJIMFFDE98CC
三民區,房地(土地+建物),高雄市三民區十全二路61~90號,24.66,商,,,1061127,土地1建物1車位0,全,3,透天厝,,加強磚造,0611108,63.42,0,0,0,無,無,無,15000,237,,0.0,0,,RPUOMLSLJIMFFDE09CC
三民區,房地(土地+建物),高雄市三民區十全二路61~90號,24.66,商,,,1061127,土地1建物1車位0,全,3,透天厝,,加強磚造,0611108,63.42,2,1,1,有,無,無,13000,205,,0.0,0,,RPWOMLSLJIMFFDE66CC
左營區,房地(土地+建物),高雄市左營區新南街61~90號,14.24,住,,,1061103,土地1建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000527,60.7,2,2,1,有,有,有,16000,264,,0.0,0,,RPPNMLSLJIMFFEE58CC
左營區,房地(土地+建物)+車位,高雄市左營區子華路91~120號,18.94,住,,,1061127,土地1建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821116,124.13,3,2,2,有,有,無,11500,93,升降機械,0.0,0,,RPXOMLSLJIMFFEE86CC
左營區,建物,高雄市左營區博愛二路1~30號,0.0,住,,,1061123,土地0建物1車位0,一層,5,店面(店鋪),見其它登記事項,鋼筋混凝土造,0971209,332.8,0,0,0,無,無,無,200000,601,,0.0,0,(1)土地持分未分割 (2)承租1+2樓,RPOPMLSLJIMFFEE68CC
左營區,建物,高雄市左營區立文路61~90號,0.0,商,,,1061128,土地0建物1車位0,十八層,19,辦公商業大樓,見其它登記事項,鋼筋混凝土造,0790326,56.56,0,0,0,無,有,無,12000,212,,0.0,0,18樓為整層屋主自行隔間出租,RPPPMLSLJIMFFEE78CC
仁武區,土地,仁新段901~930地號,588.0,農,,,1061113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,73333,125,,0.0,0,含增建或未登記建物。,RPSNMLSLJIMFFIE66CC
仁武區,房地(土地+建物),高雄市仁武區竹門街27巷1~30號,64.0,住,,,1061128,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0821015,112.64,4,2,3,有,無,有,13000,115,,0.0,0,,RPXOMLSLJIMFFIE27CC
鳳山區,房地(土地+建物),高雄市鳳山區鎮北北巷1~30號,1276.0,工,,,1061114,土地3建物1車位0,見其他登記事項,1,工廠,工業用,鋼造,0890428,442.8,0,0,0,無,無,無,141750,,,0.0,0,,RPUOMLSLJIMFFGE76CC
鳳山區,房地(土地+建物)+車位,高雄市鳳山區工協街31~60號,45.2,住,,,1061115,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010502,185.74,3,2,2,有,有,有,17000,92,坡道平面,0.0,0,,RPVOMLSLJIMFFGE86CC
鳳山區,房地(土地+建物),高雄市鳳山區文衡路481~510號,150.0,住,,,1061123,土地1建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0920123,88.5,0,0,0,有,無,無,55000,621,,0.0,0,,RPVPMLSLJIMFFGE96CC
鳳山區,建物,高雄市鳳山區大明路91~120號,25.33,住,,,1061128,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820414,155.18,4,2,2,有,有,無,15000,97,,0.0,0,,RPWNMLTLJIMFFGE96CC
鳳山區,房地(土地+建物),高雄市鳳山區長樂街31~60號,28.94,住,,,1061124,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0820526,135.95,1,1,1,有,無,無,13000,96,,0.0,0,,RPPOMLTLJIMFFGE98CC
苓雅區,建物,高雄市苓雅區新光路31~60號,0.0,商,,,1061122,土地0建物1車位0,三十七層,42,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0810725,169.65,0,0,0,無,有,無,25000,147,,0.0,0,屋主自行隔間分租,RPTNMLTLJIMFFBE78CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區文山路121~150號,26.55,商,,,1061124,土地1建物1車位1,見其他登記事項,8,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830302,181.93,2,2,3,有,有,無,17222,95,坡道機械,0.0,0,租金含稅。,RPXNMLTLJIMFFBE56CC
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,4.8,商,,,1061128,土地1建物1車位0,四層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,113.28,3,2,2,有,有,有,10000,88,,0.0,0,,RPOOMLTLJIMFFBE38CC
苓雅區,房地(土地+建物),高雄市苓雅區三多一路241~270號,74.0,商,,,1061122,土地1建物1車位0,見其他登記事項,2,店面(店鋪),,加強磚造,0561214,95.36,0,0,0,無,無,無,29000,304,,0.0,0,,RPVNMLKMJIMFFBE18CC
