鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中壢區,建物,桃園市中壢區興安街1~30號,0.0,住,,,1061101,土地0建物0車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721230,21.63,4,4,4,有,無,有,3500,162,,0.0,0,,RPUNMLLLJIMFFBH38CC
中壢區,建物,桃園市中壢區民族路五段511~540號,0.0,商,,,1061001,土地0建物1車位0,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020306,133.27,3,1,2,有,無,有,10000,75,,0.0,0,,RPWRMLLLJIMFFBH98CC
八德區,房地(土地+建物)+車位,桃園市八德區建德路271~300號,1986.46,住,,,1061001,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040420,133.05,3,2,1,有,有,有,13000,98,坡道平面,0.0,0,,RPVNMLLLJIMFFFH98DC
平鎮區,房地(土地+建物),桃園市平鎮區貿一路121~150號,75.21,住,,,1061101,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0970124,218.43,4,3,4,有,無,有,24000,110,,0.0,0,,RPPOMLLLJIMFFGH58DC
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區大新一街118巷1~30號,3432.56,住,,,1061101,土地1建物1車位1,十六層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050929,67.42,2,2,1,有,有,有,16000,237,坡道平面,29.18,0,,RPUNMLMLJIMFFEH88DC
蘆竹區,房地(土地+建物),桃園市蘆竹區大福路211~240號,2516.65,住,,,1061101,土地1建物1車位0,三層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060512,95.66,3,2,2,有,有,有,16000,167,,0.0,0,,RPVNMLMLJIMFFEH98DC
中壢區,建物,桃園市中壢區忠孝路283巷1~30號,0.0,住,,,1061101,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0661221,105.74,2,1,2,有,無,無,22000,208,,0.0,0,,RPRPMLMLJIMFFBH38CC
大溪區,建物,桃園市大溪區介壽路539巷18弄1~30號,0.0,住,,,1061001,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1030418,292.7,4,1,3,有,有,無,22000,75,,0.0,0,,RPQNMLNLJIMFFCH28CC
蘆竹區,房地(土地+建物),桃園市蘆竹區南崁路211~240號,94.39,商,,,1061101,土地1建物1車位0,見其他登記事項,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,0670903,226.47,6,3,2,有,無,無,96000,424,,0.0,0,,RPUNMLNLJIMFFEH88CC
蘆竹區,土地,水尾段661~690地號,495.87,工,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,60000,121,,0.0,0,含有建物120坪(未有保存登記),RPQPMLNLJIMFFEH68CC
八德區,房地(土地+建物),桃園市八德區金和路31~60號,15.43,住,,,1061101,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960815,96.87,2,2,1,有,有,有,14000,145,,0.0,0,,RPTNMLNLJIMFFFH98DC
八德區,建物,桃園市八德區介壽路一段645巷11弄1~30號,0.0,住,,,1061001,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690924,78.42,2,1,1,有,有,無,10000,128,,0.0,0,,RPRNMLNLJIMFFFH68CC
八德區,建物,桃園市八德區廣興一路1~30號,0.0,商,,,1061001,土地0建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030120,159.41,4,2,2,有,有,無,14000,88,坡道平面,24.91,0,,RPSNMLNLJIMFFFH78CC
平鎮區,建物,桃園市平鎮區中庸路121~150號,0.0,商,,,1061101,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941006,73.44,2,1,1,有,有,有,10000,136,,0.0,0,,RPPNMLNLJIMFFGH58CC
桃園區,房地(土地+建物),桃園市桃園區大同西路69巷4弄1~30號,39.5,住,,,1061101,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701110,97.91,3,2,2,有,無,有,14000,143,,0.0,0,,RPPNMLNLJIMFFAH08DC
桃園區,房地(土地+建物),桃園市桃園區同安街631~660號,0.0,住,,,1060701,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830502,113.63,2,1,1,有,無,無,15000,132,,0.0,0,,RPQOMLOLJIMFFAH38DC
桃園區,房地(土地+建物),桃園市桃園區寶慶路511~540號,3212.0,住,,,1060701,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0931108,257.44,4,2,3,有,無,無,40000,155,,0.0,0,,RPTOMLOLJIMFFAH68DC
桃園區,房地(土地+建物),桃園市桃園區國際路一段1~30號,166.55,住,,,1061101,土地1建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1051116,182.42,0,0,1,有,無,無,85000,466,,0.0,0,,RPXRMLOLJIMFFAH76DC
